SD Card Mounted after 0 attempts
RTC Time Good
Datalogger Start Time: 2022-07-06 07:38:21
SD Card Mount Time (millis): 03950802
millis,id,data
03950802,0x462,0000000000001001
03950802,0x260,0000000000000000
03950802,0x703,0000000000000000
03950802,0x4B0,0000000000000001
03950805,0x471,000000000000000C
03950805,0x050,00000000B0503C6F
03950805,0x400,0000000000000000
03950806,0x401,0000000000000000
03950820,0x080,000000003B65A68B
03950826,0x703,0000000000000000
03950838,0x250,0000000000000001
03950855,0x471,000000000000000C
03950855,0x262,0000000000000001
03950864,0x701,0000000000000000
03950865,0x702,0000000042D1C510
03950866,0x703,0000000000000000
03950866,0x070,000000009B45BE97
03950867,0x704,0000000000000000
03950868,0x705,3C3A8600BDF9B1DF
03950869,0x706,0000000000000000
03950870,0x707,0000000000000000
03950870,0x301,0000000000000000
03950870,0x251,0000000000000000
03950871,0x201,0000000000000000
03950872,0x232,000000000000019D
03950872,0x410,031787300294786C
03950877,0x717,0000000042C7FFFF
03950880,0x088,000000000000000B
03950943,0x462,0000000000001001
03950943,0x260,0000000000000000
03950943,0x23F,0000000004A505E5
03950943,0x035,000000000000000A
03950943,0x240,0000000000000B05
03950943,0x034,0000000000000000
03950944,0x033,0000000000000000
03950944,0x23C,0C350BC90C0B0B81
03950944,0x23D,0BE20C3E0C290BEC
03950944,0x23E,0D670BAC09B90C5B
03950944,0x2F1,00000C9A0D570C39
03950944,0x233,00000BE80D6709B9
03950944,0x471,000000000000000C
03950944,0x703,0000000000000000
03950944,0x235,9282925C92639215
03950944,0x236,90AB9244923D925C
03950945,0x237,9282924792519233
03950945,0x238,91B2923A9256928C
03950945,0x239,9282925D9252919B
03950945,0x23A,92719255923E927D
03950945,0x23B,9223924C92369272
03950945,0x230,00000000000FFE5D
03950945,0x234,0000923A928C90AB
03950945,0x250,0000000000000001
03950946,0x703,0000000000000000
03950955,0x471,000000000000000C
03950955,0x300,0000000000000000
03950970,0x251,0000000000000000
03950971,0x201,0000000000000000
03950980,0x462,0000000000001001
03950980,0x260,0000000000000000
03950982,0x232,000000000000019D
03951010,0x410,0317890402948934
03951010,0x703,0000000000000000
03951010,0x088,000000000000000B
03951010,0x471,000000000000000C
03951026,0x703,0000000000000000
03951038,0x250,0000000000000001
03951055,0x471,000000000000000C
03951055,0x262,0000000000000001
03951055,0x400,0000000000000000
03951064,0x701,0000000000000000
03951065,0x702,0000000042D1C641
03951066,0x703,0000000000000000
03951067,0x704,0000000000000000
03951068,0x705,3C630D00BDF5F8BF
03951069,0x706,0000000000000000
03951070,0x707,0000000000000000
03951070,0x251,0000000000000000
03951071,0x201,0000000000000000
03951077,0x717,0000000042C7FFFF
03951080,0x462,0000000000001001
03951080,0x260,0000000000000000
03951085,0x23F,0000000004A505E6
03951085,0x035,000000000000000A
03951085,0x240,0000000000000B05
03951085,0x034,0000000000000000
03951085,0x033,0000000000000000
03951091,0x23C,0C350BC90C0B0B81
03951092,0x23D,0BE20C3F0C290BEB
03951092,0x23E,0D680BAD09B90C5C
03951092,0x2F1,00000C9B0D570C31
03951092,0x233,00000BE80D6809B9
03951092,0x232,000000000000019E
03951114,0x410,03178AD8029622A3
03951114,0x088,000000000000000B
03951114,0x471,000000000000000C
03951114,0x703,0000000000000000
03951120,0x301,0000000000000000
03951125,0x235,9280925892619214
03951126,0x236,90A69242923B9257
03951126,0x237,927E9244924E922B
03951126,0x238,91AE923892529288
03951126,0x239,927F925A924E919A
03951126,0x23A,926E9254923E9279
03951127,0x23B,9220924A9233926F
03951127,0x230,00000000000FFE08
03951127,0x234,00009237928890A6
03951138,0x250,0000000000000001
03951138,0x0A0,00000000B05C6757
03951146,0x703,0000000000000000
03951155,0x471,000000000000000C
03951155,0x300,0000000000000000
03951156,0x0B0,00000000EB81DE35
03951170,0x251,0000000000000000
03951171,0x201,0000000000000000
03951172,0x030,00000000B05D198C
03951180,0x462,0000000000001001
03951180,0x260,0000000000000000
03951186,0x703,0000000000000000
03951200,0x232,000000000000019D
03951200,0x410,03178CAB02947B7D
03951204,0x088,000000000000000B
03951205,0x471,000000000000000C
03951226,0x703,0000000000000000
03951238,0x250,0000000000000001
03951259,0x471,000000000000000C
03951259,0x262,0000000000000001
03951264,0x701,0000000000000000
03951265,0x702,0000000042D1C7E3
03951266,0x703,0000000000000000
03951267,0x704,0000000000000000
03951268,0x705,3C8BE480BDF81B9F
03951269,0x706,0000000000000000
03951270,0x707,0000000000000000
03951270,0x251,0000000000000000
03951271,0x201,0000000000000000
03951277,0x717,0000000042C7FFFF
03951280,0x462,0000000000001001
03951280,0x260,0000000000000000
03951285,0x23F,0000000004A705E5
03951285,0x035,000000000000000A
03951285,0x240,0000000000000B05
03951285,0x034,0000000000000000
03951285,0x033,0000000000000000
03951291,0x23C,0C350BC80C0B0B81
03951292,0x23D,0BE20C3F0C290BEB
03951292,0x23E,0D660BAC09BA0C5C
03951292,0x2F1,00000C9C0D570C3E
03951292,0x233,00000BE80D6609BA
03951305,0x471,000000000000000C
03951305,0x050,00000000B057DDE9
03951306,0x400,0000000000000000
03951306,0x703,0000000000000000
03951310,0x232,000000000000019D
03951310,0x410,03178E7E02947B7D
03951312,0x088,000000000000000B
03951313,0x040,00000000B057C7B7
03951335,0x235,927E925892609213
03951335,0x236,90A79243923B9257
03951335,0x237,927D92449250922D
03951335,0x238,91AE923992529288
03951335,0x239,927E9259924E919A
03951335,0x23A,926E9254923A9279
03951335,0x23B,9220924A9233926F
03951335,0x230,00000000000FFE04
03951336,0x234,00009237928890A7
03951338,0x250,0000000000000001
03951346,0x703,0000000000000000
03951355,0x471,000000000000000C
03951355,0x074,0000000000000000
03951355,0x300,0000000000000000
03951370,0x301,0000000000000000
03951370,0x251,0000000000000000
03951371,0x201,0000000000000000
03951380,0x462,0000000000001001
03951380,0x260,0000000000000000
03951386,0x703,0000000000000000
03951389,0x075,000000000000FF00
03951405,0x471,000000000000000C
03951418,0x232,000000000000019C
03951418,0x410,031790510292E171
03951420,0x088,000000000000000B
03951426,0x703,0000000000000000
03951438,0x250,0000000000000001
03951455,0x471,000000000000000C
03951455,0x262,0000000000000001
03951455,0x401,0000000000000000
03951464,0x701,0000000000000000
03951465,0x702,0000000042D1C56A
03951487,0x703,0000000000000000
03951487,0x704,0000000000000000
03951487,0x705,3C9A4C00BDF7025F
03951487,0x706,0000000000000000
03951487,0x707,0000000000000000
03951487,0x251,0000000000000000
03951487,0x201,0000000000000000
03951487,0x717,0000000042C7FFFF
03951487,0x462,0000000000001001
03951488,0x260,0000000000000000
03951488,0x23F,0000000004A505E7
03951488,0x035,000000000000000A
03951488,0x240,0000000000000B05
03951488,0x034,0000000000000000
03951488,0x033,0000000000000000
03951491,0x23C,0C350BCA0C0C0B82
03951492,0x23D,0BE20C3F0C2A0BEC
03951492,0x23E,0D630BAD09B90C5C
03951492,0x2F1,00000C9F0D5B0C26
03951492,0x233,00000BE80D6309B9
03951505,0x471,000000000000000C
03951506,0x703,0000000000000000
03951525,0x235,9280925992629213
03951526,0x236,90A89242923D925A
03951526,0x237,927E924692519227
03951526,0x238,91B1923992529289
03951526,0x239,9280925C924F919B
03951527,0x23A,92709254923C927C
03951527,0x23B,9222924C92349272
03951527,0x230,00000000000FFE26
03951527,0x234,00009238928990A8
03951528,0x232,000000000000019D
03951549,0x410,0317922502948054
03951549,0x088,000000000000000B
03951550,0x250,0000000000000001
03951550,0x703,0000000000000000
03951555,0x471,000000000000000C
03951555,0x400,0000000000000000
03951555,0x300,0000000000000000
03951570,0x251,0000000000000000
03951571,0x201,0000000000000000
03951580,0x462,0000000000001001
03951580,0x260,0000000000000000
03951586,0x703,0000000000000000
03951605,0x471,000000000000000C
03951611,0x0B3,00000000135B2DC0
03951620,0x301,0000000000000000
03951626,0x703,0000000000000000
03951636,0x232,000000000000019D
03951636,0x410,031793F702948054
03951636,0x088,000000000000000B
03951638,0x250,0000000000000001
03951655,0x471,000000000000000C
03951655,0x262,0000000000000001
03951663,0x700,00000E6D00004003
03951664,0x701,0000000000000000
03951665,0x702,0000000042D1C61E
03951666,0x703,0000000000000000
03951667,0x704,0000000000000000
03951668,0x705,3C8E5580BDF7219F
03951669,0x706,0000000000000000
03951670,0x707,0000000000000000
03951670,0x251,0000000000000000
03951671,0x201,0000000000000000
03951692,0x708,4169C3803873C000
03951692,0x2F0,0041101D14221878
03951692,0x709,404F72F13FE7C6D8
03951693,0x70B,41FBE064409C0840
03951693,0x70C,00000000421CFB62
03951693,0x70D,0000000044B705F3
