SD Card Mounted after 1 attempts
RTC Time Good
Datalogger Start Time: 2022-07-05 15:12:37
SD Card Mount Time (millis): 00000637
millis,id,data
00000637,0x5A0,0000000000000000
00000638,0x570,0000000000000000
00000638,0x561,0000000000000000
00000638,0x580,FFFE0068FFFD009A
00000638,0x571,0000000000000000
00000638,0x590,0000000000009F06
00000638,0x581,0007006AFFF90099
00000638,0x5A0,0000000000000000
00000638,0x591,000000000000A12C
00000638,0x5A1,0000000000000000
00000638,0x5B1,1B1100470000E50E
00000638,0x5B0,18A1004E0000E4BE
00000638,0x5C1,0000000000000000
00000639,0x5C0,0000000000000000
00000639,0x5D1,000000000000FFFF
00000639,0x5D0,000000000000FFFF
00000639,0x5B0,1A1100740000E3EE
00000639,0x5C0,0000000000000000
00000639,0x5D0,000000000000FFFF
00000639,0x041,0000000000000003
00000639,0x232,00000000FFFFFFE3
00000639,0x410,0514BC8CFFCFAFE6
00000639,0x088,000000000000000B
00000639,0x471,000000000000000C
00000639,0x23F,0000000004A305CF
00000640,0x035,000000000000000A
00000640,0x034,0000000000000820
00000640,0x033,0000000000000000
00000704,0x23C,0EC70E2C0E300E66
00000704,0x23D,0E4B0E790DFD0E31
00000704,0x23E,0DF10E2E07A20AA6
00000704,0x2F1,00000FF20FBA0FFB
00000704,0x233,00000EE310570900
00000704,0x070,000000000007A134
00000704,0x235,9886986C986F982F
00000704,0x301,0000000000000000
00000704,0x236,97AD983F9835983D
00000704,0x251,0000000000000000
00000705,0x237,988B9866986B9837
00000705,0x201,0000000000000000
00000705,0x238,97B4986598569889
00000705,0x471,000000000000000C
00000705,0x239,988F987B986897AD
00000705,0x23A,987E986E985D9882
00000705,0x23B,9855986B98529878
00000705,0x230,000000000010A8ED
00000705,0x234,00009851988F97AD
00000705,0x240,0000000000000E02
00000705,0x300,0000000000000000
00000705,0x041,0000000000000003
00000706,0x201,0000000000000000
00000706,0x250,0000000000000000
00000706,0x082,000000000000000F
00000706,0x462,0000000000001000
00000706,0x260,0000000000000000
00000706,0x471,000000000000000C
00000706,0x232,00000000FFFFFFDC
00000706,0x410,0514BC66FFC40645
00000706,0x088,000000000000000B
00000706,0x401,0000000000000000
00000735,0x041,0000000000000003
00000735,0x262,0000000000000001
00000735,0x462,0000000000001000
00000735,0x250,0000000000000000
00000735,0x260,0000000000000000
00000735,0x471,000000000000000C
00000735,0x251,0000000000000000
00000735,0x201,0000000000000000
00000735,0x075,0000000000000400
00000735,0x041,0000000000000003
00000735,0x700,00000E6D00004003
00000736,0x701,0000000000000000
00000736,0x702,0000000042DA7E53
00000736,0x703,0000000000000000
00000736,0x704,0000000000000000
00000736,0x705,4180E929C0EC36F1
00000736,0x706,0000000000000000
00000736,0x707,0000000000000000
00000736,0x708,41697F913BE03580
00000736,0x709,404FE74C3FE8584D
00000736,0x70B,423E247A41C41D84
00000736,0x70C,00000000425AB0EC
00000736,0x70D,0000000044B705F3
00000737,0x400,0000000000000000
00000737,0x70E,000000003E126785
00000737,0x717,0000000042C7FFFF
00000737,0x471,000000000000000C
00000737,0x232,00000000FFFFFFE2
00000737,0x410,0514BC40FFCE0539
00000737,0x088,000000000000000B
00000737,0x2F0,0053000000000000
00000737,0x23F,0000000004A205D4
00000760,0x035,000000000000000A
00000760,0x034,0000000000000820
00000760,0x033,0000000000000000
00000760,0x703,3EFFC1EB418BC21F
00000760,0x23C,0EC70E2C0E310E66
00000760,0x23D,0E4B0E790DFD0E31
00000760,0x23E,0DF10E2E07A10AA4
00000760,0x2F1,00000FF10FB70FF6
00000760,0x233,00000EE3105708FF
00000760,0x235,98869869986E982B
00000760,0x236,97A8983B98379839
00000761,0x237,988B98629868982E
00000761,0x238,97B1986598529887
00000761,0x239,98909879986897A7
00000761,0x23A,987A986E9859987C
00000761,0x23B,9853986798549877
00000761,0x230,000000000010A8A7
00000761,0x234,0000984F989097A7
00000761,0x300,0000000000000000
00000761,0x462,0000000000001000
00000761,0x250,0000000000000000
00000761,0x260,0000000000000011
00000761,0x471,000000000000000C
00000762,0x251,0000000000000000
00000762,0x201,0000000000000000
00000762,0x703,4095431C432320CE
00000762,0x301,0000000000000000
00000762,0x440,0203000200000000
00000762,0x240,0000000000000E02
00000762,0x041,0000000000000003
00000762,0x201,0000000000000000
00000762,0x082,000000000000000F
00000784,0x471,000000000000000C
00000784,0x703,40D1236B43649111
00000784,0x232,00000000FFFFFFE0
00000784,0x703,40EBE0024380E4C0
00000784,0x462,0000000000001000
00000784,0x262,0000000000000001
00000784,0x260,0000000000000101
00000784,0x250,0000000000000000
00000785,0x471,000000000000000C
00000785,0x251,0000000000000000
00000785,0x201,0000000000000000
00000785,0x041,0000000000000003
00000785,0x701,0000000000000000
00000785,0x702,0000000042DA405C
00000785,0x703,40F78A83438744B8
00000785,0x704,0000000000000000
00000785,0x705,3F92791241A3DA88
00000785,0x706,0000000000000000
00000785,0x707,00000000419DE071
00000785,0x717,0000000042C7FFFF
00000786,0x471,000000000000000C
00000786,0x232,00000000FFFFFFE0
00000786,0x410,0514BBF6FFCAB11D
00000786,0x088,000000000000000B
00000786,0x23F,0000000004A405D4
00000786,0x035,000000000000000A
00000786,0x034,0000000000000820
00000786,0x033,0000000000000000
00000786,0x703,40FC855F4389FD5D
00000786,0x041,0000000000000003
00000786,0x23C,0EC70E2C0E300E66
00000786,0x23D,0E4B0E790DFE0E30
00000808,0x23E,0DF10E2E07A20AA6
00000808,0x2F1,00000FF10FBA0FF5
00000808,0x233,00000EE310570900
00000808,0x235,9886986D986B982C
00000808,0x236,97A8983C9838983A
00000808,0x237,988B986598649831
00000809,0x238,97AC986898579887
00000809,0x239,988E9878986897A4
00000809,0x23A,987A986C985A987F
00000809,0x23B,9854986598579878
00000809,0x230,000000000010A8B0
00000809,0x234,0000984F988E97A4
00000809,0x050,00000000000F42BA
00000809,0x400,0000000000000000
00000809,0x300,0000000000000000
00000809,0x462,0000000000001000
00000809,0x250,0000000000000000
00000809,0x260,0000000000000113
00000809,0x251,0000000000000000
00000810,0x060,00000000000B4C4E
00000810,0x060,00000000000B4C1C
00000810,0x201,0000000000000000
00000810,0x560,0000000000000000
00000810,0x564,0000000000000000
00000810,0x570,0000000000000000
00000810,0x061,00000000000B4BF8
00000810,0x574,0000000000000000
00000810,0x561,0000000000000000
00000810,0x580,0000008DFFFD00A1
00000810,0x571,0000000000000000
00000811,0x584,FFFD006EFFFA00A0
00000811,0x581,00090070FFFB00A0
00000833,0x590,000000000000A302
00000833,0x591,000000000000A12C
00000833,0x594,0000000000009F06
00000833,0x5A0,0000000000000000
00000833,0x5A1,0000000000000000
00000833,0x5A4,0000000000000000
00000833,0x5B0,1CA100760000E44E
00000833,0x5B1,1EC1004C0000E54E
00000833,0x471,000000000000000C
00000833,0x5B4,176100540000E4EE
00000833,0x072,0000000000000006
00000833,0x5C0,00000000000B4C4E
00000834,0x5C1,00000000000B4BF8
00000834,0x5C4,00000000000B4C1C
00000834,0x5D0,000025DC000002C5
00000834,0x5D1,00002596000002C5
00000834,0x5D4,0000259E000002C5
00000834,0x703,40FEC764438B3939
00000834,0x440,02030300000006C6
00000834,0x240,0000000000000E02
00000834,0x201,0000000000000000
00000834,0x082,000000000000000F
00000834,0x0A0,0000000000172912
00000834,0x041,0000000000000003
00000835,0x471,000000000000000C
00000835,0x703,40FFD0C2438BCA3B
00000835,0x088,000000000000000B
00000835,0x232,00000000FFFFFFE0
00000835,0x410,0514BBD1FFCAB100
00000835,0x0B0,00000000000CBF6E
00000839,0x072,0000000000000004
00000839,0x074,0000000000000000
00000861,0x301,0000000000000000
00000861,0x703,40FFE9EB438BD7FB
00000861,0x462,0000000000001000
00000861,0x262,0000000000000001
00000861,0x260,0000000000000117
00000861,0x250,0000000000000000
00000861,0x251,0000000000000000
00000862,0x201,0000000000000000
00000862,0x471,000000000000000C
00000863,0x041,0000000000000003
00000885,0x701,0000000000000000
00000886,0x702,0000000042DA3A84
00000887,0x703,40FFEDB7438BDA0E
00000888,0x704,0000000000000000
00000889,0x705,3F68F0D041A74356
00000890,0x706,0000000000000000
00000891,0x707,0000000041A749ED
00000898,0x717,0000000042C7FFFF
00000905,0x471,000000000000000C
00000926,0x23F,0000000004A305D3
00000926,0x035,000000000000000A
00000927,0x034,0000000000000820
00000927,0x033,0000000000000000
00000927,0x703,40FFAB03438BB59B
00000930,0x041,0000000000000003
00000933,0x23C,0EC70E2C0E300E66
00000934,0x23D,0E4B0E790DFE0E31
00000934,0x23E,0DF10E2E07A10AA5
00000934,0x2F1,00000FEF0FB70FEA
00000935,0x233,00000EE3105708FF
00000936,0x088,000000000000000B
00000939,0x235,9881986C986C982B
00000961,0x236,97A7983E98369838
00000961,0x237,9886986198669838
00000961,0x238,97B2986698519880
00000961,0x239,98889876986497B5
00000961,0x23A,987A986C985A9882
00000961,0x23B,98539867984F9874
00000961,0x230,000000000010A89B
00000962,0x234,0000984E988897A7
00000962,0x232,00000000FFFFFFDF
00000962,0x410,0514BBABFFC906CE
00000962,0x300,0000000000000000
00000962,0x462,0000000000001000
00000962,0x260,0000000000000117
00000962,0x250,0000000000000000
00000962,0x251,0000000000000000
00000962,0x201,0000000000000000
00000962,0x471,000000000000000C
00000967,0x703,40FF54FD438B8699
00000972,0x440,02030000000006DE
00000972,0x240,0000000000000E02
00000972,0x201,0000000000000000
00000972,0x082,000000000000000F
00000996,0x041,0000000000000003
00000997,0x400,0000000000000000
00001000,0x0B3,000000000F3E2D89
00001001,0x4B0,0000000000000001
00001005,0x471,000000000000000C
00001007,0x703,40FF2087438B69EE
00001014,0x030,00000000001A8E84
00001044,0x088,000000000000000B
00001047,0x401,0000000000000000
00001047,0x703,40FEE4D0438B494D
00001069,0x232,00000000FFFFFFE0
00001069,0x262,0000000000000001
00001069,0x410,0514BB84FFCAB144
00001069,0x250,0000000000000000
00001069,0x462,0000000000001000
00001069,0x260,0000000000000116
00001069,0x251,0000000000000000
00001069,0x201,0000000000000000
00001070,0x471,000000000000000C
00001070,0x041,0000000000000003
00001085,0x701,0000000000000000
00001086,0x702,0000000042DA3066
