SD Card Mounted after 1 attempts
RTC Time Good
Datalogger Start Time: 2022-07-05 09:39:32
SD Card Mount Time (millis): 00000655
millis,id,data
00000655,0x591,0000000000007454
00000655,0x5A0,0000000000000000
00000655,0x5A1,0000000000000000
00000655,0x5B1,1B1107D20000E15E
00000655,0x5B0,1D31076B0000E0BE
00000655,0x5C1,0000000000000000
00000655,0x5C0,0000000000000000
00000655,0x5D1,000000000000FFFF
00000655,0x5D0,000000000000FFFF
00000655,0x5B0,1CA107DD0000E0CE
00000656,0x5C0,0000000000000000
00000656,0x5D0,000000000000FFFF
00000656,0x23C,09220916096E092D
00000656,0x23D,09A008EF087C0939
00000656,0x23E,08EC095207AB0ADB
00000656,0x2F1,00000BD20C1D0BF7
00000656,0x233,00000AA20C9D0909
00000656,0x235,A2E0A2A2A2A3A272
00000656,0x236,A1CCA247A23BA241
00000656,0x237,A303A2ABA2AEA2B0
00000656,0x238,A244A2A6A285A2F5
00000656,0x239,A2FEA2D7A2AAA20B
00000657,0x23A,A2D3A2B1A28DA2E0
00000657,0x23B,A2BFA2B6A289A2D6
00000657,0x230,000000000011C8E5
00000657,0x234,0000A29AA303A1CC
00000657,0x471,000000000000000C
00000657,0x041,0000000000000003
00000721,0x088,000000000000000B
00000721,0x232,00000000FFFFFFE6
00000721,0x410,08DE9896FFD1C27A
00000721,0x251,0000000000000000
00000721,0x201,0000000000000000
00000721,0x471,000000000000000C
00000721,0x240,0000000000000E02
00000721,0x300,0000000000000000
00000721,0x041,0000000000000003
00000721,0x201,0000000000000000
00000721,0x250,0000000000000001
00000721,0x082,000000000000000F
00000722,0x462,0000000000001401
00000722,0x260,0000000000000000
00000722,0x471,000000000000000C
00000722,0x088,000000000000000B
00000722,0x401,0000000000000000
00000722,0x074,0000000000000000
00000722,0x301,0000000000000000
00000722,0x041,0000000000000003
00000722,0x251,0000000000000000
00000722,0x201,0000000000000000
00000722,0x471,000000000000000C
00000722,0x232,00000000FFFFFFD9
00000723,0x410,08DE9868FFBAA3B7
00000723,0x262,0000000000000001
00000723,0x462,0000000000001401
00000723,0x250,0000000000000001
00000723,0x260,0000000000000000
00000723,0x2F0,0053000000000000
00000723,0x23F,0000000004A305D9
00000723,0x035,000000000000000A
00000751,0x034,0000000000000000
00000752,0x033,0000000000000000
00000752,0x23C,09220916096E092D
00000752,0x23D,099F08EE087C0938
00000752,0x23E,08EC095207AB0ADC
00000752,0x2F1,00000BE30C160BDF
00000752,0x233,00000AA20C9E0909
00000752,0x235,A2E3A2A1A2A1A275
00000752,0x236,A1CDA246A23DA23F
00000752,0x237,A301A2ACA2ACA2A3
00000752,0x238,A246A2A4A27EA2F3
00000752,0x239,A301A2D4A2A5A215
00000753,0x23A,A2D1A2AFA28DA2DE
00000753,0x23B,A2C0A2AFA28CA2D2
00000753,0x230,000000000011C8C7
00000753,0x234,0000A299A301A1CD
00000753,0x471,000000000000000C
00000753,0x041,0000000000000003
00000753,0x400,0000000000000000
00000753,0x088,000000000000000B
00000753,0x251,0000000000000000
00000753,0x201,0000000000000000
00000753,0x700,00000E6D00004003
00000753,0x701,0000000000000000
00000754,0x471,000000000000000C
00000754,0x702,0000000042E8DB8E
00000754,0x703,0000000000000000
00000754,0x704,0000000000000000
00000754,0x705,3DB7F5C03E33A060
00000754,0x706,0000000000000000
00000754,0x707,0000000000000000
00000754,0x708,4169C57600000000
00000776,0x709,404F41E63FE7595C
00000776,0x70B,41FE2E8C41C41D84
00000776,0x70C,00000000420C5D62
00000776,0x70D,0000000044B705F3
00000776,0x70E,0000000000000000
00000776,0x232,00000000FFFFFFE5
00000776,0x410,08DE9843FFCFFB81
00000776,0x717,0000000042C7FFFF
00000777,0x300,0000000000000000
00000777,0x462,0000000000001401
00000777,0x250,0000000000000001
00000777,0x260,0000000000000000
00000777,0x703,0000000000000000
00000777,0x440,02030000000004DA
00000777,0x240,0000000000000E02
00000777,0x041,0000000000000003
00000777,0x201,0000000000000000
00000777,0x082,000000000000000F
00000777,0x471,000000000000000C
00000777,0x703,0000000000000000
00000778,0x088,000000000000000B
00000778,0x251,0000000000000000
00000778,0x201,0000000000000000
00000778,0x471,000000000000000C
00000778,0x041,0000000000000003
00000778,0x232,00000000FFFFFFE4
00000778,0x410,08DE9820FFCE343A
00000778,0x703,0000000000000000
00000778,0x262,0000000000000001
00000778,0x462,0000000000001401
00000778,0x250,0000000000000001
00000778,0x260,0000000000000000
00000800,0x23F,0000000004A205D8
00000800,0x035,000000000000000A
