SD Card Mounted after 1 attempts
RTC Time Good
Datalogger Start Time: 2022-07-05 14:19:06
SD Card Mount Time (millis): 00000618
millis,id,data
00000618,0x5A1,0000000000000000
00000618,0x5B1,166100460000E4EE
00000618,0x5B0,1E11004E0000E46E
00000618,0x5C1,0000000000000000
00000618,0x5C0,0000000000000000
00000618,0x5D1,000000000000FFFF
00000618,0x5D0,000000000000FFFF
00000618,0x5B0,180100740000E3AE
00000618,0x5C0,0000000000000000
00000618,0x5D0,000000000000FFFF
00000619,0x251,0000000000000000
00000619,0x201,0000000000000000
00000619,0x471,000000000000000C
00000619,0x041,0000000000000003
00000619,0x088,000000000000000B
00000619,0x23F,0000000004A105C0
00000619,0x035,000000000000000A
00000619,0x034,0000000000000820
00000619,0x033,0000000000000000
00000619,0x23C,0E600DB00E1A0DF0
00000619,0x23D,0E680E140D980DBB
00000619,0x23E,0E2D0DF407A10A93
00000620,0x2F1,000010020FC81011
00000620,0x233,00000EAB0FF008FF
00000620,0x235,9A0F99F599F699BD
00000620,0x236,992599B999B399B2
00000620,0x237,9A2199ED99F599CB
00000620,0x238,993F99F699DA9A19
00000684,0x239,9A209A0999F49940
00000684,0x23A,9A0D99F899E09A10
00000684,0x23B,99EB99F399D99A05
00000684,0x230,000000000010D3FE
00000684,0x234,000099DB9A219925
00000684,0x471,000000000000000C
00000684,0x072,0000000000000004
00000685,0x074,0000000000000000
00000685,0x301,0000000000000000
00000685,0x240,0000000000000E02
00000685,0x300,0000000000000000
00000685,0x041,0000000000000003
00000685,0x201,0000000000000000
00000685,0x250,0000000000000000
00000685,0x082,000000000000000F
00000685,0x462,0000000000001000
00000685,0x260,0000000000000000
00000685,0x251,0000000000000000
00000685,0x201,0000000000000000
00000686,0x232,00000000FFFFFFDE
00000686,0x410,05D0C5A1FFC6C8D4
00000686,0x471,000000000000000C
00000686,0x088,000000000000000B
00000686,0x401,0000000000000000
00000686,0x471,000000000000000C
00000686,0x041,0000000000000003
00000686,0x262,0000000000000001
00000686,0x462,0000000000001000
00000686,0x250,0000000000000000
00000686,0x260,0000000000000000
00000686,0x251,0000000000000000
00000687,0x201,0000000000000000
00000715,0x471,000000000000000C
00000715,0x232,00000000FFFFFFE2
00000715,0x410,05D0C579FFCD8406
00000715,0x041,0000000000000003
00000715,0x2F0,0053000000000000
00000715,0x23F,0000000004A105C2
00000716,0x035,000000000000000A
00000716,0x034,0000000000000820
00000716,0x033,0000000000000000
00000716,0x400,0000000000000000
00000716,0x23C,0E610DB10E1A0DF0
00000716,0x23D,0E680E140D970DBA
00000716,0x23E,0E2D0DF407A10A91
00000716,0x2F1,00000FFD0FCC1001
00000716,0x233,00000EAA0FF108FF
00000716,0x235,9A1799F799F899C0
00000716,0x088,000000000000000B
00000716,0x236,992899BB99B299B3
00000717,0x237,9A2099F099F299C8
00000717,0x238,994099F299DD9A1E
00000717,0x239,9A249A0A99F3993C
00000717,0x23A,9A0A99F799E29A0D
00000717,0x23B,99EA99F199DA9A06
00000717,0x230,000000000010D40D
00000717,0x234,000099DB9A249928
00000717,0x471,000000000000000C
00000717,0x700,00000E6D00004003
00000717,0x701,0000000000000000
00000717,0x702,0000000042DC62E6
00000717,0x703,0000000000000000
00000718,0x704,0000000000000000
00000718,0x705,C1BC7EE1BD947F9F
00000740,0x706,0000000000000000
00000740,0x707,0000000000000000
00000740,0x708,4169609A37870000
00000740,0x709,404FD2643FE82CA6
00000740,0x70B,4245CC1E41C41D84
00000740,0x70C,000000004260100C
00000740,0x70D,0000000044B705F3
00000740,0x70E,000000003E001B02
00000740,0x717,0000000042C7FFFF
00000740,0x300,0000000000000000
00000740,0x462,0000000000001000
00000741,0x250,0000000000000000
00000741,0x260,0000000000000000
00000741,0x251,0000000000000000
00000741,0x201,0000000000000000
00000741,0x471,000000000000000C
00000741,0x703,3F8C5A31421963FF
00000741,0x440,02030000000006BA
00000741,0x240,0000000000000E02
00000741,0x041,0000000000000003
00000741,0x201,0000000000000000
00000741,0x082,000000000000000F
00000741,0x232,00000000FFFFFFE1
00000742,0x410,05D0C554FFCBD50B
00000742,0x075,0000000000000A00
00000742,0x301,0000000000000000
00000742,0x703,40C6C3EA43593AE0
00000742,0x088,000000000000000B
00000742,0x471,000000000000000C
