SD Card Mounted after 1 attempts
RTC Time Good
Datalogger Start Time: 2022-07-05 18:26:49
SD Card Mount Time (millis): 00000842
millis,id,data
00000842,0x5C0,0000000000000000
00000842,0x5D0,000000000000FFFF
00000842,0x5D0,000000000000FFFF
00000842,0x561,0000000000000000
00000842,0x571,0000000000000000
00000842,0x581,0005006EFFF90094
00000842,0x591,0000000000008A84
00000842,0x5A1,0000000000000000
00000842,0x5B1,1771004D0000E4AE
00000843,0x471,000000000000000C
00000843,0x5C1,0000000000000000
00000843,0x072,0000000000000006
00000843,0x5D1,000000000000FFFF
00000843,0x041,0000000000000003
00000843,0x088,000000000000000B
00000843,0x471,000000000000000C
00000843,0x074,0000000000000000
00000843,0x301,0000000000000000
00000843,0x251,0000000000000000
00000843,0x201,0000000000000000
00000843,0x240,0000000000000E02
00000844,0x300,0000000000000000
00000844,0x041,0000000000000003
00000844,0x201,0000000000000000
00000844,0x250,0000000000000001
00000844,0x082,000000000000000F
00000844,0x462,0000000000001401
00000844,0x260,0000000000000000
00000907,0x232,000000000000011B
00000907,0x410,01A1F81B01B4ECE0
00000907,0x471,000000000000000C
00000907,0x2F0,0053000000000000
00000908,0x23F,0000000004A105D0
00000908,0x035,000000000000000A
00000908,0x034,0000000000000820
00000908,0x033,0000000000000000
00000908,0x23C,107A102F0F460FA7
00000908,0x23D,0F71104D105C0FF7
00000908,0x23E,0D7C103D09BD0C1A
00000908,0x2F1,00000E160DC50DF8
00000908,0x233,00000EEF107A09BD
00000908,0x235,8D638D448D488D0E
00000908,0x236,8C968D6C8D6C8D70
00000908,0x237,8D5B8D2C8D338D0B
00000909,0x238,8C758D2F8D178D52
00000909,0x239,8D5A8D458D288C65
00000909,0x23A,8D4E8D3C8D248D4C
00000909,0x23B,8D218D328D168D41
00000909,0x230,00000000000F707D
00000909,0x234,00008D298D708C65
00000909,0x088,000000000000000B
00000909,0x401,0000000000000000
00000909,0x471,000000000000000C
00000909,0x041,0000000000000003
00000909,0x251,0000000000000000
00000909,0x201,0000000000000000
00000910,0x462,0000000000001401
00000910,0x262,0000000000000001
00000910,0x260,0000000000000000
00000910,0x250,0000000000000001
00000938,0x471,000000000000000C
00000938,0x232,000000000000011B
00000938,0x410,01A1F95101B4EF6B
00000938,0x041,0000000000000003
