millis,id,hexString,length,parsedValue
1657032059492,0x040,000000000007A13A,1,[0.500026]
1657032059492,0x050,000000000007A1A6,1,[0.500134]
1657032059492,0x080,000000000007A131,1,[0.5000169999999999]
1657032059492,0x400,0000000000000000,1,"[[0, 0, 0, 0, 0, 0, 0, 0]]"
1657032059492,0x462,0000000000001401,2,"[20, [1, 0, 0, 0, 0, 0, 0, 0]]"
1657032059492,0x262,0000000000000001,1,"[[1, 0, 0, 0, 0, 0, 0, 0]]"
1657032059493,0x260,0000000000000000,1,[0]
1657032059493,0x250,0000000000000001,2,"[0, 1]"
1657032059493,0x471,000000000000000C,1,[12]
1657032059493,0x560,0000000000000000,2,"[0.0, 0.0]"
1657032059493,0x560,0000000000000000,2,"[0.0, 0.0]"
1657032059493,0x570,0000000000000000,2,"[0.0, 0.0]"
1657032059493,0x570,0000000000000000,2,"[0.0, 0.0]"
1657032059493,0x580,FFFD0748FFFA07A0,4,"[-0.10546875, 6.692325367647059, -0.2109375, 7.008272058823529]"
1657032059493,0x580,000507520001079F,4,"[0.17578125, 6.7282284007352935, 0.03515625, 7.004681755514706]"
1657032059493,0x561,0000000000000000,2,"[0.0, 0.0]"
1657032059493,0x571,0000000000000000,2,"[0.0, 0.0]"
1657032059493,0x581,000807FDFFFA084E,4,"[0.28125, 7.342170266544117, -0.2109375, 7.632984834558823]"
1657032059494,0x591,0000000000007800,1,[30.72]
1657032059494,0x590,0000000000007850,1,[30.8]
1657032059494,0x5A1,0000000000000000,3,"[0, 0, 0]"
1657032059494,0x5A0,0000000000000000,3,"[0, 0, 0]"
1657032059494,0x5B1,1B9107D30000E12E,4,"[1.0822133213957001, 2003, 0.0, 0.3978327246932949]"
1657032059494,0x5B0,196107D40000E07E,4,"[0.9963355461397001, 2004, 0.0, 0.3966180947181705]"
1657032059494,0x5C1,0000000000000000,1,[0.0]
1657032059494,0x5C0,0000000000000000,1,[0.0]
1657032059494,0x5D1,000000000000FFFF,2,"[0.0, 0.065535]"
1657032059494,0x5D0,000000000000FFFF,2,"[0.0, 0.065535]"
1657032059558,0x590,0000000000007652,1,[30.29]
1657032059558,0x5A0,0000000000000000,3,"[0, 0, 0]"
1657032059558,0x5B0,1BB107D50000E08E,4,"[1.0871206228389, 2005, 0.0, 0.396728515625]"
1657032059558,0x5C0,0000000000000000,1,[0.0]
1657032059558,0x5D0,000000000000FFFF,2,"[0.0, 0.065535]"
1657032059559,0x041,0000000000000003,1,[3]
1657032059559,0x232,00000000FFFFFFE5,1,[-0.27]
1657032059559,0x410,08E03639FFCFF34F,2,"[1489.1167300000002, -87.4715833340331]"
1657032059559,0x088,000000000000000B,1,[0.11]
1657032059559,0x251,0000000000000000,3,"[0, [0, 0, 0, 0, 0, 0, 0, 0], 0.0]"
1657032059559,0x201,0000000000000000,2,"[0.0, 0.0]"
1657032059559,0x471,000000000000000C,1,[12]
1657032059559,0x23F,0000000004A305D4,2,"[11.870000000000001, 14.92]"
1657032059559,0x035,000000000000000A,1,[10]
1657032059559,0x034,0000000000000000,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
1657032059559,0x033,0000000000000000,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
1657032059559,0x23C,091F091209680918,4,"[23.35, 23.22, 24.080000000000002, 23.28]"
1657032059560,0x23D,099308EB08780936,4,"[24.51, 22.830000000000002, 21.68, 23.580000000000002]"
1657032059560,0x23E,08EA094F07AB0ADD,4,"[22.82, 23.830000000000002, 19.63, 27.810000000000002]"
1657032059560,0x2F1,00000C090C2F0C06,3,"[30.810000000000002, 31.19, 30.78]"
1657032059560,0x233,00000A9D0C9F0909,3,"[27.17, 32.31, 23.13]"
1657032059560,0x235,A2F8A2BCA2BBA28A,4,"[4.172000000000001, 4.166, 4.165900000000001, 4.1610000000000005]"
1657032059560,0x236,A1E6A25EA250A255,4,"[4.1446000000000005, 4.1566, 4.1552, 4.1557]"
1657032059560,0x237,A31EA2C7A2CAA2C7,4,"[4.175800000000001, 4.1671000000000005, 4.1674, 4.1671000000000005]"
1657032059560,0x238,A261A2BEA29EA30E,4,"[4.1569, 4.1662, 4.163, 4.1742]"
1657032059560,0x239,A319A2F1A2C1A22E,4,"[4.1753, 4.1713000000000005, 4.1665, 4.151800000000001]"
1657032059560,0x23A,A2E9A2CAA2A5A2F7,4,"[4.1705000000000005, 4.1674, 4.1637, 4.1719]"
1657032059560,0x23B,A2D8A2CFA2A1A2EF,4,"[4.1688, 4.1679, 4.1633000000000004, 4.1711]"
1657032059560,0x230,000000000011CBA2,1,[116.6242]
1657032059561,0x234,0000A2B3A31EA1E6,3,"[4.1651, 4.175800000000001, 4.1446000000000005]"
1657032059561,0x240,0000000000000E02,2,"[14, [0, 1, 0, 0, 0, 0, 0, 0]]"
1657032059561,0x300,0000000000000000,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
1657032059589,0x041,0000000000000003,1,[3]
1657032059589,0x201,0000000000000000,2,"[0.0, 0.0]"
1657032059589,0x250,0000000000000001,2,"[0, 1]"
1657032059589,0x082,000000000000000F,1,[15]
1657032059589,0x462,0000000000001401,2,"[20, [1, 0, 0, 0, 0, 0, 0, 0]]"
1657032059589,0x260,0000000000000000,1,[0]
1657032059589,0x471,000000000000000C,1,[12]
1657032059590,0x232,00000000FFFFFFD7,1,[-0.41000000000000003]
1657032059590,0x410,08E0360FFFB709E8,2,"[1489.11631, -132.82200000106258]"
1657032059590,0x088,000000000000000B,1,[0.11]
1657032059590,0x401,0000000000000000,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
1657032059590,0x251,0000000000000000,3,"[0, [0, 0, 0, 0, 0, 0, 0, 0], 0.0]"
1657032059590,0x201,0000000000000000,2,"[0.0, 0.0]"
1657032059590,0x471,000000000000000C,1,[12]
1657032059590,0x700,00000E6D00004003,2,"[3693, 16387]"
1657032059590,0x701,0000000000000000,5,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 0, 0, 0]"
1657032059590,0x702,0000000042E8DD7E,2,"[0.0, 116.43260192871094]"
1657032059590,0x703,0000000000000000,2,"[0.0, 0.0]"
1657032059590,0x704,0000000000000000,2,"[0.0, 0.0]"
1657032059591,0x705,BD59A6BF3DECB1C0,2,"[-0.053137537091970444, 0.11557340621948242]"
1657032059591,0x706,0000000000000000,2,"[0.0, 0.0]"
1657032059591,0x707,0000000000000000,2,"[0.0, 0.0]"
1657032059591,0x708,4169C36F36340000,2,"[14.610213279724121, 2.682209014892578e-06]"
1657032059591,0x709,404F43A83FE704D7,2,"[3.238504409790039, 1.8048352003097534]"
1657032059591,0x70B,41FE2E8C41C41D84,2,"[31.772727966308594, 24.51441192626953]"
1657032059591,0x041,0000000000000003,1,[3]
1657032059591,0x70C,000000004212056C,2,"[0.0, 36.50529479980469]"
1657032059591,0x70D,0000000044B705F3,2,"[0.0, 1464.1859130859375]"
1657032059591,0x70E,00000000BC926416,2,"[0.0, -0.017869990319013596]"
1657032059591,0x717,0000000042C7FFFF,2,"[0.0, 99.99999237060547]"
1657032059591,0x703,0000000000000000,2,"[0.0, 0.0]"
1657032059592,0x462,0000000000001401,2,"[20, [1, 0, 0, 0, 0, 0, 0, 0]]"
1657032059613,0x262,0000000000000001,1,"[[1, 0, 0, 0, 0, 0, 0, 0]]"
1657032059613,0x260,0000000000000000,1,[0]
1657032059613,0x250,0000000000000001,2,"[0, 1]"
1657032059614,0x471,000000000000000C,1,[12]
1657032059614,0x041,0000000000000003,1,[3]
1657032059614,0x074,0000000000000000,3,"[0.0, 0.0, 0.0]"
1657032059614,0x301,0000000000000000,3,"[0, 0, 0]"
1657032059614,0x703,0000000000000000,2,"[0.0, 0.0]"
1657032059614,0x400,0000000000000000,1,"[[0, 0, 0, 0, 0, 0, 0, 0]]"
1657032059614,0x251,0000000000000000,3,"[0, [0, 0, 0, 0, 0, 0, 0, 0], 0.0]"
1657032059614,0x201,0000000000000000,2,"[0.0, 0.0]"
1657032059614,0x471,000000000000000C,1,[12]
1657032059614,0x232,00000000FFFFFFE3,1,[-0.29]
1657032059614,0x410,08E035E2FFCC64AB,2,"[1489.11586, -93.94725000075158]"
1657032059614,0x088,000000000000000B,1,[0.11]
1657032059615,0x703,0000000000000000,2,"[0.0, 0.0]"
1657032059615,0x2F0,0053000000000000,4,"[83, 0, 0, 0]"
1657032059615,0x23F,0000000004A305D8,2,"[11.870000000000001, 14.96]"
1657032059615,0x035,000000000000000A,1,[10]
1657032059615,0x034,0000000000000000,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
1657032059615,0x033,0000000000000000,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
1657032059615,0x23C,091F091209680919,4,"[23.35, 23.22, 24.080000000000002, 23.29]"
1657032059615,0x23D,099208EB08780935,4,"[24.5, 22.830000000000002, 21.68, 23.57]"
1657032059615,0x23E,08EA094F07AB0ADE,4,"[22.82, 23.830000000000002, 19.63, 27.82]"
1657032059615,0x2F1,00000C010C2B0C0B,3,"[30.73, 31.150000000000002, 30.830000000000002]"
1657032059615,0x233,00000A9D0CA00909,3,"[27.17, 32.32, 23.13]"
1657032059615,0x235,A2F8A2BCA2B9A28D,4,"[4.172000000000001, 4.166, 4.1657, 4.1613]"
1657032059616,0x236,A1E4A25DA24FA258,4,"[4.1444, 4.1565, 4.1551, 4.156000000000001]"
1657032059616,0x237,A31FA2C7A2CBA2C9,4,"[4.1759, 4.1671000000000005, 4.1675, 4.1673]"
1657032059616,0x238,A25CA2BCA29AA309,4,"[4.1564000000000005, 4.166, 4.1626, 4.1737]"
1657032059616,0x239,A31CA2EEA2C1A22C,4,"[4.1756, 4.171, 4.1665, 4.1516]"
1657032059616,0x23A,A2EBA2C8A2A2A2FB,4,"[4.1707, 4.1672, 4.1634, 4.1723]"
1657032059637,0x23B,A2D7A2CDA2A6A2EE,4,"[4.1687, 4.1677, 4.1638, 4.171]"
1657032059638,0x230,000000000011CB96,1,[116.623]
1657032059638,0x234,0000A2B3A31FA1E4,3,"[4.1651, 4.1759, 4.1444]"
1657032059638,0x300,0000000000000000,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
1657032059638,0x462,0000000000001401,2,"[20, [1, 0, 0, 0, 0, 0, 0, 0]]"
1657032059638,0x260,0000000000000000,1,[0]
1657032059638,0x250,0000000000000001,2,"[0, 1]"
