millis,id,hexString,length,parsedValue
1657031972655,0x591,0000000000007454,1,[29.78]
1657031972655,0x5A0,0000000000000000,3,"[0, 0, 0]"
1657031972655,0x5A1,0000000000000000,3,"[0, 0, 0]"
1657031972655,0x5B1,1B1107D20000E15E,4,"[1.0625841156229001, 2002, 0.0, 0.39816398741378334]"
1657031972655,0x5B0,1D31076B0000E0BE,4,"[1.1460082401573002, 1899, 0.0, 0.39705977834548845]"
1657031972655,0x5C1,0000000000000000,1,[0.0]
1657031972655,0x5C0,0000000000000000,1,[0.0]
1657031972655,0x5D1,000000000000FFFF,2,"[0.0, 0.065535]"
1657031972655,0x5D0,000000000000FFFF,2,"[0.0, 0.065535]"
1657031972655,0x5B0,1CA107DD0000E0CE,4,"[1.1239253836629002, 2013, 0.0, 0.39717019925231795]"
1657031972656,0x5C0,0000000000000000,1,[0.0]
1657031972656,0x5D0,000000000000FFFF,2,"[0.0, 0.065535]"
1657031972656,0x23C,09220916096E092D,4,"[23.38, 23.26, 24.14, 23.490000000000002]"
1657031972656,0x23D,09A008EF087C0939,4,"[24.64, 22.87, 21.72, 23.61]"
1657031972656,0x23E,08EC095207AB0ADB,4,"[22.84, 23.86, 19.63, 27.79]"
1657031972656,0x2F1,00000BD20C1D0BF7,3,"[30.26, 31.01, 30.63]"
1657031972656,0x233,00000AA20C9D0909,3,"[27.22, 32.29, 23.13]"
1657031972656,0x235,A2E0A2A2A2A3A272,4,"[4.1696, 4.1634, 4.1635, 4.1586]"
1657031972656,0x236,A1CCA247A23BA241,4,"[4.142, 4.1543, 4.1531, 4.153700000000001]"
1657031972656,0x237,A303A2ABA2AEA2B0,4,"[4.1731, 4.1643, 4.1646, 4.1648000000000005]"
1657031972656,0x238,A244A2A6A285A2F5,4,"[4.154, 4.1638, 4.1605, 4.1717]"
1657031972656,0x239,A2FEA2D7A2AAA20B,4,"[4.1726, 4.1687, 4.1642, 4.1483]"
1657031972657,0x23A,A2D3A2B1A28DA2E0,4,"[4.1683, 4.1649, 4.1613, 4.1696]"
1657031972657,0x23B,A2BFA2B6A289A2D6,4,"[4.166300000000001, 4.1654, 4.1609, 4.1686000000000005]"
1657031972657,0x230,000000000011C8E5,1,[116.5541]
1657031972657,0x234,0000A29AA303A1CC,3,"[4.1626, 4.1731, 4.142]"
1657031972657,0x471,000000000000000C,1,[12]
1657031972657,0x041,0000000000000003,1,[3]
1657031972721,0x088,000000000000000B,1,[0.11]
1657031972721,0x232,00000000FFFFFFE6,1,[-0.26]
1657031972721,0x410,08DE9896FFD1C27A,2,"[1488.0578200000002, -84.17794444511787]"
1657031972721,0x251,0000000000000000,3,"[0, [0, 0, 0, 0, 0, 0, 0, 0], 0.0]"
1657031972721,0x201,0000000000000000,2,"[0.0, 0.0]"
1657031972721,0x471,000000000000000C,1,[12]
1657031972721,0x240,0000000000000E02,2,"[14, [0, 1, 0, 0, 0, 0, 0, 0]]"
1657031972721,0x300,0000000000000000,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
1657031972721,0x041,0000000000000003,1,[3]
1657031972721,0x201,0000000000000000,2,"[0.0, 0.0]"
1657031972721,0x250,0000000000000001,2,"[0, 1]"
1657031972721,0x082,000000000000000F,1,[15]
1657031972722,0x462,0000000000001401,2,"[20, [1, 0, 0, 0, 0, 0, 0, 0]]"
1657031972722,0x260,0000000000000000,1,[0]
1657031972722,0x471,000000000000000C,1,[12]
1657031972722,0x088,000000000000000B,1,[0.11]
1657031972722,0x401,0000000000000000,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
1657031972722,0x074,0000000000000000,3,"[0.0, 0.0, 0.0]"
1657031972722,0x301,0000000000000000,3,"[0, 0, 0]"
1657031972722,0x041,0000000000000003,1,[3]
1657031972722,0x251,0000000000000000,3,"[0, [0, 0, 0, 0, 0, 0, 0, 0], 0.0]"
1657031972722,0x201,0000000000000000,2,"[0.0, 0.0]"
1657031972722,0x471,000000000000000C,1,[12]
1657031972722,0x232,00000000FFFFFFD9,1,[-0.39]
1657031972723,0x410,08DE9868FFBAA3B7,2,"[1488.05736, -126.2669166676768]"
1657031972723,0x262,0000000000000001,1,"[[1, 0, 0, 0, 0, 0, 0, 0]]"
1657031972723,0x462,0000000000001401,2,"[20, [1, 0, 0, 0, 0, 0, 0, 0]]"
1657031972723,0x250,0000000000000001,2,"[0, 1]"
1657031972723,0x260,0000000000000000,1,[0]
1657031972723,0x2F0,0053000000000000,4,"[83, 0, 0, 0]"
1657031972723,0x23F,0000000004A305D9,2,"[11.870000000000001, 14.97]"
1657031972723,0x035,000000000000000A,1,[10]
1657031972751,0x034,0000000000000000,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
1657031972752,0x033,0000000000000000,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
1657031972752,0x23C,09220916096E092D,4,"[23.38, 23.26, 24.14, 23.490000000000002]"
1657031972752,0x23D,099F08EE087C0938,4,"[24.63, 22.86, 21.72, 23.6]"
1657031972752,0x23E,08EC095207AB0ADC,4,"[22.84, 23.86, 19.63, 27.8]"
1657031972752,0x2F1,00000BE30C160BDF,3,"[30.43, 30.94, 30.39]"
1657031972752,0x233,00000AA20C9E0909,3,"[27.22, 32.3, 23.13]"
1657031972752,0x235,A2E3A2A1A2A1A275,4,"[4.1699, 4.1633000000000004, 4.1633000000000004, 4.1589]"
1657031972752,0x236,A1CDA246A23DA23F,4,"[4.1421, 4.1542, 4.1533, 4.1535]"
1657031972752,0x237,A301A2ACA2ACA2A3,4,"[4.1729, 4.1644000000000005, 4.1644000000000005, 4.1635]"
1657031972752,0x238,A246A2A4A27EA2F3,4,"[4.1542, 4.163600000000001, 4.159800000000001, 4.1715]"
1657031972752,0x239,A301A2D4A2A5A215,4,"[4.1729, 4.1684, 4.1637, 4.1493]"
1657031972753,0x23A,A2D1A2AFA28DA2DE,4,"[4.1681, 4.1647, 4.1613, 4.1694]"
1657031972753,0x23B,A2C0A2AFA28CA2D2,4,"[4.1664, 4.1647, 4.1612, 4.168200000000001]"
1657031972753,0x230,000000000011C8C7,1,[116.5511]
1657031972753,0x234,0000A299A301A1CD,3,"[4.1625000000000005, 4.1729, 4.1421]"
1657031972753,0x471,000000000000000C,1,[12]
1657031972753,0x041,0000000000000003,1,[3]
1657031972753,0x400,0000000000000000,1,"[[0, 0, 0, 0, 0, 0, 0, 0]]"
1657031972753,0x088,000000000000000B,1,[0.11]
1657031972753,0x251,0000000000000000,3,"[0, [0, 0, 0, 0, 0, 0, 0, 0], 0.0]"
1657031972753,0x201,0000000000000000,2,"[0.0, 0.0]"
1657031972753,0x700,00000E6D00004003,2,"[3693, 16387]"
1657031972753,0x701,0000000000000000,5,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 0, 0, 0]"
1657031972754,0x471,000000000000000C,1,[12]
1657031972754,0x702,0000000042E8DB8E,2,"[0.0, 116.42881774902344]"
1657031972754,0x703,0000000000000000,2,"[0.0, 0.0]"
1657031972754,0x704,0000000000000000,2,"[0.0, 0.0]"
1657031972754,0x705,3DB7F5C03E33A060,2,"[0.08982419967651367, 0.1754164695739746]"
1657031972754,0x706,0000000000000000,2,"[0.0, 0.0]"
1657031972754,0x707,0000000000000000,2,"[0.0, 0.0]"
1657031972754,0x708,4169C57600000000,2,"[14.610708236694336, 0.0]"
1657031972776,0x709,404F41E63FE7595C,2,"[3.2383971214294434, 1.8074145317077637]"
1657031972776,0x70B,41FE2E8C41C41D84,2,"[31.772727966308594, 24.51441192626953]"
1657031972776,0x70C,00000000420C5D62,2,"[0.0, 35.09119415283203]"
1657031972776,0x70D,0000000044B705F3,2,"[0.0, 1464.1859130859375]"
1657031972776,0x70E,0000000000000000,2,"[0.0, 0.0]"
1657031972776,0x232,00000000FFFFFFE5,1,[-0.27]
1657031972776,0x410,08DE9843FFCFFB81,2,"[1488.05699, -87.41330555625485]"
