millis,id,hexString,length,parsedValue
1657043815597,0x5A1,0000000000000000,3,"[0, 0, 0]"
1657043815597,0x5B1,161100420000E4CE,4,"[0.8662920578949, 66, 0.0, 0.40423713728940525]"
1657043815597,0x5B0,1CE100450000E48E,4,"[1.1337399865493, 69, 0.0, 0.4037954536620873]"
1657043815597,0x5C1,0000000000000000,1,[0.0]
1657043815597,0x5C0,0000000000000000,1,[0.0]
1657043815597,0x5D1,000000000000FFFF,2,"[0.0, 0.065535]"
1657043815597,0x5D0,000000000000FFFF,2,"[0.0, 0.065535]"
1657043815597,0x5B0,1B8100730000E3AE,4,"[1.0797596706741002, 115, 0.0, 0.40224956096647446]"
1657043815598,0x5C0,0000000000000000,1,[0.0]
1657043815598,0x5D0,000000000000FFFF,2,"[0.0, 0.065535]"
1657043815598,0x23F,0000000004A205DC,2,"[11.86, 15.0]"
1657043815598,0x035,000000000000000A,1,[10]
1657043815598,0x034,0000000000000020,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]]"
1657043815598,0x033,0000000000000000,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
1657043815598,0x23C,0D010D0A0DF50D2C,4,"[33.29, 33.38, 35.730000000000004, 33.72]"
1657043815598,0x23D,0CFE0CC60D0E0D1A,4,"[33.26, 32.7, 33.42, 33.54]"
1657043815598,0x23E,0CEF0CA007A30A7A,4,"[33.11, 32.32, 19.55, 26.82]"
1657043815598,0x2F1,00000FC510420FDA,3,"[40.37, 41.62, 40.58]"
1657043815598,0x233,00000DE00F850901,3,"[35.52, 39.730000000000004, 23.05]"
1657043815598,0x235,9BD09BA49BA79B78,4,"[3.9888000000000003, 3.9844000000000004, 3.9847, 3.98]"
1657043815599,0x236,9AE49B5E9B549B56,4,"[3.9652000000000003, 3.9774000000000003, 3.9764000000000004, 3.9766000000000004]"
1657043815599,0x237,9BDC9B9F9BA69B8A,4,"[3.99, 3.9839, 3.9846000000000004, 3.9818000000000002]"
1657043815599,0x238,9B2D9BA49B899BD6,4,"[3.9725, 3.9844000000000004, 3.9817, 3.9894000000000003]"
1657043815599,0x239,9BDC9BBE9BA49B34,4,"[3.99, 3.987, 3.9844000000000004, 3.9732000000000003]"
1657043815599,0x23A,9BBF9BAA9B8B9BC2,4,"[3.9871000000000003, 3.9850000000000003, 3.9819, 3.9874]"
1657043815599,0x23B,9BA69BA29B869BBC,4,"[3.9846000000000004, 3.9842000000000004, 3.9814000000000003, 3.9868]"
1657043815599,0x230,000000000011040C,1,[111.51480000000001]
1657043815599,0x234,00009B929BDC9AE4,3,"[3.9826, 3.99, 3.9652000000000003]"
1657043815663,0x041,0000000000000003,1,[3]
1657043815663,0x471,000000000000000C,1,[12]
1657043815663,0x088,000000000000000B,1,[0.11]
1657043815663,0x074,0000000000000000,3,"[0.0, 0.0, 0.0]"
1657043815664,0x301,0000000000000000,3,"[0, 0, 0]"
1657043815664,0x251,0000000000000000,3,"[0, [0, 0, 0, 0, 0, 0, 0, 0], 0.0]"
1657043815664,0x201,0000000000000000,2,"[0.0, 0.0]"
1657043815664,0x232,00000000FFFFFFE0,1,[-0.32]
1657043815664,0x410,064C4DFFFFC98CA7,2,"[1056.6399900000001, -99.124250000793]"
1657043815664,0x471,000000000000000C,1,[12]
1657043815664,0x240,0000000000000E02,2,"[14, [0, 1, 0, 0, 0, 0, 0, 0]]"
1657043815664,0x300,0000000000000000,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
1657043815664,0x041,0000000000000003,1,[3]
1657043815664,0x201,0000000000000000,2,"[0.0, 0.0]"
1657043815664,0x250,0000000000000001,2,"[0, 1]"
1657043815665,0x082,000000000000000F,1,[15]
1657043815665,0x462,0000000000001401,2,"[20, [1, 0, 0, 0, 0, 0, 0, 0]]"
1657043815665,0x260,0000000000000000,1,[0]
1657043815665,0x471,000000000000000C,1,[12]
1657043815665,0x088,000000000000000B,1,[0.11]
1657043815665,0x401,0000000000000000,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
1657043815665,0x041,0000000000000003,1,[3]
1657043815665,0x251,0000000000000000,3,"[0, [0, 0, 0, 0, 0, 0, 0, 0], 0.0]"
1657043815665,0x201,0000000000000000,2,"[0.0, 0.0]"
1657043815665,0x471,000000000000000C,1,[12]
1657043815665,0x232,00000000FFFFFFD1,1,[-0.47000000000000003]
1657043815665,0x410,064C4DCAFFB00695,2,"[1056.63946, -145.5887500011647]"
1657043815666,0x262,0000000000000001,1,"[[1, 0, 0, 0, 0, 0, 0, 0]]"
1657043815666,0x462,0000000000001401,2,"[20, [1, 0, 0, 0, 0, 0, 0, 0]]"
1657043815666,0x250,0000000000000001,2,"[0, 1]"
1657043815666,0x260,0000000000000000,1,[0]
1657043815666,0x2F0,0053000000000000,4,"[83, 0, 0, 0]"
1657043815694,0x23F,0000000004A305DE,2,"[11.870000000000001, 15.02]"
1657043815694,0x035,000000000000000A,1,[10]
1657043815694,0x034,0000000000000020,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]]"
1657043815694,0x033,0000000000000000,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
1657043815695,0x23C,0D010D0A0DF50D2D,4,"[33.29, 33.38, 35.730000000000004, 33.730000000000004]"
1657043815695,0x23D,0CFE0CC60D0E0D1A,4,"[33.26, 32.7, 33.42, 33.54]"
1657043815695,0x23E,0CEF0CA007A30A79,4,"[33.11, 32.32, 19.55, 26.810000000000002]"
1657043815695,0x2F1,00000FC010410FCA,3,"[40.32, 41.61, 40.42]"
1657043815695,0x233,00000DE00F850901,3,"[35.52, 39.730000000000004, 23.05]"
1657043815695,0x235,9BD09BA49BA79B78,4,"[3.9888000000000003, 3.9844000000000004, 3.9847, 3.98]"
1657043815695,0x236,9AE39B5D9B539B56,4,"[3.9651, 3.9773, 3.9763, 3.9766000000000004]"
1657043815695,0x237,9BDB9B9D9BA69B89,4,"[3.9899, 3.9837000000000002, 3.9846000000000004, 3.9817]"
1657043815695,0x238,9B2D9BA29B899BD6,4,"[3.9725, 3.9842000000000004, 3.9817, 3.9894000000000003]"
1657043815695,0x239,9BDD9BBE9BA49B33,4,"[3.9901, 3.987, 3.9844000000000004, 3.9731]"
1657043815695,0x23A,9BC09BAA9B8B9BC4,4,"[3.9872, 3.9850000000000003, 3.9819, 3.9876]"
1657043815695,0x23B,9BA89BA19B869BBC,4,"[3.9848000000000003, 3.9841, 3.9814000000000003, 3.9868]"
1657043815696,0x230,0000000000110407,1,[111.5143]
1657043815696,0x234,00009B929BDD9AE3,3,"[3.9826, 3.9901, 3.9651]"
1657043815696,0x041,0000000000000003,1,[3]
1657043815696,0x471,000000000000000C,1,[12]
1657043815696,0x400,0000000000000000,1,"[[0, 0, 0, 0, 0, 0, 0, 0]]"
1657043815696,0x088,000000000000000B,1,[0.11]
1657043815696,0x251,0000000000000000,3,"[0, [0, 0, 0, 0, 0, 0, 0, 0], 0.0]"
1657043815696,0x201,0000000000000000,2,"[0.0, 0.0]"
1657043815696,0x471,000000000000000C,1,[12]
