millis,id,hexString,length,parsedValue
1657043934631,0x5D0,000000000000FFFF,2,"[0.0, 0.065535]"
1657043934631,0x561,0000000000000000,2,"[0.0, 0.0]"
1657043934631,0x571,0000000000000000,2,"[0.0, 0.0]"
1657043934631,0x581,00070072FFF90092,4,"[0.24609375, 0.40929457720588236, -0.24609375, 0.5241842830882353]"
1657043934631,0x591,00000000000095EC,1,[38.38]
1657043934631,0x5A1,0000000000000000,3,"[0, 0, 0]"
1657043934631,0x5B1,1B1100430000E4CE,4,"[1.0625841156229001, 67, 0.0, 0.40423713728940525]"
1657043934631,0x5C1,0000000000000000,1,[0.0]
1657043934631,0x5D1,000000000000FFFF,2,"[0.0, 0.065535]"
1657043934631,0x23F,0000000004A105DC,2,"[11.85, 15.0]"
1657043934631,0x035,000000000000000A,1,[10]
1657043934631,0x034,0000000000000020,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]]"
1657043934632,0x033,0000000000000000,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
1657043934632,0x23C,0D050D0A0E0E0D39,4,"[33.33, 33.38, 35.980000000000004, 33.85]"
1657043934632,0x23D,0D140CCA0D110D20,4,"[33.480000000000004, 32.74, 33.45, 33.6]"
1657043934632,0x23E,0CF30C9C07A40A79,4,"[33.15, 32.28, 19.56, 26.810000000000002]"
1657043934632,0x2F1,00000F5E0FC80FB3,3,"[39.34, 40.4, 40.19]"
1657043934632,0x233,00000DE70F9E0902,3,"[35.59, 39.980000000000004, 23.06]"
1657043934632,0x235,9BD19BA79BAA9B79,4,"[3.9889, 3.9847, 3.9850000000000003, 3.9801]"
1657043934632,0x236,9AE69B609B539B58,4,"[3.9654000000000003, 3.9776000000000002, 3.9763, 3.9768000000000003]"
1657043934632,0x237,9BDD9BA19BA79B8A,4,"[3.9901, 3.9841, 3.9847, 3.9818000000000002]"
1657043934632,0x238,9B2E9BA59B8A9BD6,4,"[3.9726000000000004, 3.9845, 3.9818000000000002, 3.9894000000000003]"
1657043934632,0x239,9BDE9BBF9BA59B33,4,"[3.9902, 3.9871000000000003, 3.9845, 3.9731]"
1657043934632,0x23A,9BC29BAC9B919BC5,4,"[3.9874, 3.9852000000000003, 3.9825000000000004, 3.9877000000000002]"
1657043934633,0x23B,9BA79BA39B879BBE,4,"[3.9847, 3.9843, 3.9815, 3.987]"
1657043934633,0x230,0000000000110436,1,[111.519]
1657043934633,0x234,00009B949BDE9AE6,3,"[3.9828, 3.9902, 3.9654000000000003]"
1657043934633,0x041,0000000000000003,1,[3]
1657043934697,0x471,000000000000000C,1,[12]
1657043934697,0x088,000000000000000B,1,[0.11]
1657043934697,0x074,0000000000000000,3,"[0.0, 0.0, 0.0]"
1657043934697,0x301,0000000000000000,3,"[0, 0, 0]"
1657043934697,0x232,00000000FFFFFFE0,1,[-0.32]
1657043934697,0x410,064C6327FFC98C20,2,"[1056.69415, -99.12800000079302]"
1657043934697,0x251,0000000000000000,3,"[0, [0, 0, 0, 0, 0, 0, 0, 0], 0.0]"
1657043934698,0x201,0000000000000000,2,"[0.0, 0.0]"
1657043934698,0x471,000000000000000C,1,[12]
1657043934698,0x240,0000000000000E02,2,"[14, [0, 1, 0, 0, 0, 0, 0, 0]]"
