millis,id,hexString,length,parsedValue
1657062886840,0x5D0,000000000000FFFF,2,"[0.0, 0.065535]"
1657062886840,0x471,000000000000000C,1,[12]
1657062886840,0x5D0,000000000000FFFF,2,"[0.0, 0.065535]"
1657062886841,0x072,0000000000000006,1,[6]
1657062886841,0x561,0000000000000000,2,"[0.0, 0.0]"
1657062886841,0x571,0000000000000000,2,"[0.0, 0.0]"
1657062886841,0x581,0008006FFFFA0095,4,"[0.28125, 0.39852366727941174, -0.2109375, 0.5349551930147058]"
1657062886841,0x591,00000000000096D2,1,[38.61]
1657062886841,0x5A1,0000000000000000,3,"[0, 0, 0]"
1657062886841,0x5B1,1BB1004E0000E49E,4,"[1.0871206228389, 78, 0.0, 0.4039058745689168]"
1657062886841,0x5C1,0000000000000000,1,[0.0]
1657062886841,0x5D1,000000000000FFFF,2,"[0.0, 0.065535]"
1657062886841,0x041,0000000000000003,1,[3]
1657062886841,0x088,000000000000000B,1,[0.11]
1657062886841,0x471,000000000000000C,1,[12]
1657062886842,0x074,0000000000000000,3,"[0.0, 0.0, 0.0]"
1657062886842,0x301,0000000000000000,3,"[0, 0, 0]"
1657062886842,0x232,0000000000000038,1,[0.56]
1657062886842,0x410,01A01AEA00566EEF,2,"[272.69866, 157.3470833345921]"
1657062886842,0x240,0000000000000E02,2,"[14, [0, 1, 0, 0, 0, 0, 0, 0]]"
1657062886842,0x300,0000000000000000,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
1657062886842,0x041,0000000000000003,1,[3]
1657062886842,0x201,0000000000000000,2,"[0.0, 0.0]"
1657062886842,0x250,0000000000000001,2,"[0, 1]"
1657062886842,0x082,000000000000000F,1,[15]
1657062886842,0x462,0000000000001401,2,"[20, [1, 0, 0, 0, 0, 0, 0, 0]]"
1657062886842,0x260,0000000000000000,1,[0]
1657062886843,0x251,0000000000000000,3,"[0, [0, 0, 0, 0, 0, 0, 0, 0], 0.0]"
1657062886906,0x201,0000000000000000,2,"[0.0, 0.0]"
1657062886906,0x471,000000000000000C,1,[12]
1657062886906,0x2F0,0053000000000000,4,"[83, 0, 0, 0]"
1657062886906,0x23F,0000000004A505E9,2,"[11.89, 15.13]"
1657062886906,0x035,000000000000000A,1,[10]
1657062886906,0x034,0000000000000820,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]]"
1657062886907,0x033,0000000000000000,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
1657062886907,0x23C,10BF107A0FF9102F,4,"[42.87, 42.18, 40.89, 41.43]"
1657062886907,0x23D,0FD8107C10941038,4,"[40.56, 42.2, 42.44, 41.52]"
1657062886907,0x23E,1010109909BE0C19,4,"[41.12, 42.49, 24.94, 30.970000000000002]"
1657062886907,0x2F1,00000EA10E670E96,3,"[37.45, 36.87, 37.34]"
1657062886907,0x233,00000F6A10BF09BE,3,"[39.46, 42.87, 24.94]"
1657062886907,0x235,8D668D4B8D4F8D19,4,"[3.6198, 3.6171, 3.6175, 3.6121000000000003]"
1657062886907,0x236,8C738D6A8D6E8D6E,4,"[3.5955000000000004, 3.6202, 3.6206, 3.6206]"
1657062886907,0x237,8D5F8D2D8D378D0A,4,"[3.6191, 3.6141, 3.6151, 3.6106000000000003]"
