millis,id,hexString,length,parsedValue
1657063609842,0x5C0,0000000000000000,1,[0.0]
1657063609842,0x5D0,000000000000FFFF,2,"[0.0, 0.065535]"
1657063609842,0x5D0,000000000000FFFF,2,"[0.0, 0.065535]"
1657063609842,0x561,0000000000000000,2,"[0.0, 0.0]"
1657063609842,0x571,0000000000000000,2,"[0.0, 0.0]"
1657063609842,0x581,0005006EFFF90094,4,"[0.17578125, 0.3949333639705882, -0.24609375, 0.5313648897058824]"
1657063609842,0x591,0000000000008A84,1,[35.46]
1657063609842,0x5A1,0000000000000000,3,"[0, 0, 0]"
1657063609842,0x5B1,1771004D0000E4AE,4,"[0.9202723737701001, 77, 0.0, 0.40401629547574625]"
1657063609843,0x471,000000000000000C,1,[12]
1657063609843,0x5C1,0000000000000000,1,[0.0]
1657063609843,0x072,0000000000000006,1,[6]
1657063609843,0x5D1,000000000000FFFF,2,"[0.0, 0.065535]"
1657063609843,0x041,0000000000000003,1,[3]
1657063609843,0x088,000000000000000B,1,[0.11]
1657063609843,0x471,000000000000000C,1,[12]
1657063609843,0x074,0000000000000000,3,"[0.0, 0.0, 0.0]"
1657063609843,0x301,0000000000000000,3,"[0, 0, 0]"
1657063609843,0x251,0000000000000000,3,"[0, [0, 0, 0, 0, 0, 0, 0, 0], 0.0]"
1657063609843,0x201,0000000000000000,2,"[0.0, 0.0]"
1657063609843,0x240,0000000000000E02,2,"[14, [0, 1, 0, 0, 0, 0, 0, 0]]"
1657063609844,0x300,0000000000000000,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
1657063609844,0x041,0000000000000003,1,[3]
1657063609844,0x201,0000000000000000,2,"[0.0, 0.0]"
1657063609844,0x250,0000000000000001,2,"[0, 1]"
1657063609844,0x082,000000000000000F,1,[15]
1657063609844,0x462,0000000000001401,2,"[20, [1, 0, 0, 0, 0, 0, 0, 0]]"
1657063609844,0x260,0000000000000000,1,[0]
1657063609907,0x232,000000000000011B,1,[2.83]
1657063609907,0x410,01A1F81B01B4ECE0,2,"[273.92027, 795.3982222285854]"
1657063609907,0x471,000000000000000C,1,[12]
1657063609907,0x2F0,0053000000000000,4,"[83, 0, 0, 0]"
1657063609908,0x23F,0000000004A105D0,2,"[11.85, 14.88]"
1657063609908,0x035,000000000000000A,1,[10]
1657063609908,0x034,0000000000000820,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]]"
1657063609908,0x033,0000000000000000,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
1657063609908,0x23C,107A102F0F460FA7,4,"[42.18, 41.43, 39.1, 40.07]"
1657063609908,0x23D,0F71104D105C0FF7,4,"[39.53, 41.730000000000004, 41.88, 40.87]"
