millis,id,hexString,length,parsedValue
1657054657651,0x040,000000000007A12E,1,[0.500014]
1657054657651,0x050,000000000007A19F,1,[0.500127]
1657054657651,0x400,0000000000000000,1,"[[0, 0, 0, 0, 0, 0, 0, 0]]"
1657054657651,0x080,000000000007A135,1,[0.5000209999999999]
1657054657651,0x262,0000000000000001,1,"[[1, 0, 0, 0, 0, 0, 0, 0]]"
1657054657652,0x462,0000000000001000,2,"[16, [0, 0, 0, 0, 0, 0, 0, 0]]"
1657054657652,0x250,0000000000000000,2,"[0, 0]"
1657054657652,0x260,0000000000000000,1,[0]
1657054657652,0x560,0000000000000000,2,"[0.0, 0.0]"
1657054657652,0x570,0000000000000000,2,"[0.0, 0.0]"
1657054657652,0x560,0000000000000000,2,"[0.0, 0.0]"
1657054657652,0x580,0001008CFFFC00A0,4,"[0.03515625, 0.502642463235294, -0.140625, 0.5744485294117647]"
1657054657652,0x570,0000000000000000,2,"[0.0, 0.0]"
1657054657652,0x590,000000000000A73A,1,[42.81]
1657054657652,0x580,FFFE0070FFFB009C,4,"[-0.0703125, 0.4021139705882353, -0.17578125, 0.5600873161764706]"
1657054657652,0x561,0000000000000000,2,"[0.0, 0.0]"
1657054657652,0x590,000000000000A226,1,[41.51]
1657054657653,0x571,0000000000000000,2,"[0.0, 0.0]"
1657054657653,0x471,000000000000020C,1,[524]
1657054657653,0x581,00080072FFFA0099,4,"[0.28125, 0.40929457720588236, -0.2109375, 0.54931640625]"
1657054657653,0x072,0000000000000006,1,[6]
1657054657653,0x591,000000000000A4F6,1,[42.230000000000004]
1657054657653,0x5A0,0000000000000000,3,"[0, 0, 0]"
1657054657653,0x5A1,0000000000000000,3,"[0, 0, 0]"
1657054657653,0x5B1,1781004F0000E4DE,4,"[0.9227260244917, 79, 0.0, 0.40434755819623475]"
1657054657653,0x5B0,1CE100570000E48E,4,"[1.1337399865493, 87, 0.0, 0.4037954536620873]"
1657054657653,0x5C1,0000000000000000,1,[0.0]
1657054657653,0x5C0,0000000000000000,1,[0.0]
1657054657717,0x5D1,000000000000FFFF,2,"[0.0, 0.065535]"
1657054657717,0x5D0,000000000000FFFF,2,"[0.0, 0.065535]"
1657054657717,0x5B0,1B5100740000E3BE,4,"[1.0723987185093, 116, 0.0, 0.4023599818733039]"
1657054657717,0x5C0,0000000000000000,1,[0.0]
1657054657717,0x5D0,000000000000FFFF,2,"[0.0, 0.065535]"
1657054657718,0x075,0000000000000400,2,"[0.4, 0.0]"
1657054657718,0x041,0000000000000003,1,[3]
1657054657718,0x232,00000000FFFFFFE5,1,[-0.27]
1657054657718,0x410,047B1966FFD3E459,2,"[751.7629400000001, -80.29619444508681]"
1657054657718,0x088,000000000000000B,1,[0.11]
1657054657718,0x471,000000000000020C,1,[524]
1657054657718,0x23F,0000000004A105D7,2,"[11.85, 14.950000000000001]"
1657054657718,0x035,000000000000000A,1,[10]
1657054657718,0x034,0000000000000820,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]]"
1657054657718,0x033,0000000000000000,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
1657054657718,0x23C,0E8A0EB70E7F0E1C,4,"[37.22, 37.67, 37.11, 36.12]"
1657054657719,0x23D,0E200E460E930EBE,4,"[36.160000000000004, 36.54, 37.31, 37.74]"
1657054657719,0x23E,0E800EC407A10A01,4,"[37.12, 37.800000000000004, 19.53, 25.61]"
1657054657719,0x2F1,0000101A0FE71026,3,"[41.22, 40.71, 41.34]"
1657054657719,0x233,00000F05105508FF,3,"[38.45, 41.81, 23.03]"
1657054657719,0x235,95A9958A95899561,4,"[3.8313, 3.8282000000000003, 3.8281, 3.8241]"
1657054657719,0x236,94CB956295629561,4,"[3.8091000000000004, 3.8242000000000003, 3.8242000000000003, 3.8241]"
1657054657719,0x237,95AF95759585955F,4,"[3.8319, 3.8261000000000003, 3.8277, 3.8239]"
1657054657719,0x238,94E892B3964995A2,4,"[3.8120000000000003, 3.7555, 3.8473, 3.8306]"
1657054657719,0x251,0000000000000000,3,"[0, [0, 0, 0, 0, 0, 0, 0, 0], 0.0]"
1657054657719,0x239,95AF959A957B94C4,4,"[3.8319, 3.8298, 3.8267, 3.8084000000000002]"
1657054657719,0x201,0000000000000000,2,"[0.0, 0.0]"
1657054657719,0x23A,95969584956D9599,4,"[3.8294, 3.8276000000000003, 3.8253000000000004, 3.8297000000000003]"
1657054657720,0x23B,95769576955C958C,4,"[3.8262, 3.8262, 3.8236000000000003, 3.8284000000000002]"
1657054657720,0x230,0000000000105617,1,[107.06150000000001]
1657054657720,0x234,0000955C964992B3,3,"[3.8236000000000003, 3.8473, 3.7555]"
1657054657720,0x240,0000000000000E02,2,"[14, [0, 1, 0, 0, 0, 0, 0, 0]]"
1657054657748,0x300,0000000000000000,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
1657054657748,0x041,0000000000000003,1,[3]
1657054657748,0x201,0000000000000000,2,"[0.0, 0.0]"
1657054657749,0x250,0000000000000000,2,"[0, 0]"
1657054657749,0x082,000000000000000F,1,[15]
1657054657749,0x462,0000000000001000,2,"[16, [0, 0, 0, 0, 0, 0, 0, 0]]"
1657054657749,0x260,0000000000000000,1,[0]
1657054657749,0x471,000000000000020C,1,[524]
1657054657749,0x301,0000000000000000,3,"[0, 0, 0]"
1657054657749,0x232,00000000FFFFFFDD,1,[-0.35000000000000003]
1657054657749,0x410,047B1942FFC6D2B0,2,"[751.7625800000001, -104.08755555638825]"
1657054657749,0x088,000000000000000B,1,[0.11]
1657054657749,0x401,0000000000000000,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
1657054657749,0x471,000000000000020C,1,[524]
1657054657750,0x041,0000000000000003,1,[3]
1657054657750,0x251,0000000000000000,3,"[0, [0, 0, 0, 0, 0, 0, 0, 0], 0.0]"
1657054657750,0x201,0000000000000000,2,"[0.0, 0.0]"
1657054657750,0x462,0000000000001000,2,"[16, [0, 0, 0, 0, 0, 0, 0, 0]]"
1657054657750,0x262,0000000000000001,1,"[[1, 0, 0, 0, 0, 0, 0, 0]]"
1657054657750,0x260,0000000000000000,1,[0]
1657054657750,0x250,0000000000000000,2,"[0, 0]"
1657054657750,0x471,000000000000020C,1,[524]
1657054657750,0x700,00000E6D00004003,2,"[3693, 16387]"
1657054657750,0x701,0000000000000000,5,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 0, 0, 0]"
1657054657750,0x702,0000000042D5BDD5,2,"[0.0, 106.87076568603516]"
1657054657750,0x703,0000000000000000,2,"[0.0, 0.0]"
1657054657750,0x704,0000000000000000,2,"[0.0, 0.0]"
1657054657751,0x705,41A76853C00AB2D5,2,"[20.925939559936523, -2.1671650409698486]"
1657054657751,0x706,0000000000000000,2,"[0.0, 0.0]"
1657054657751,0x707,0000000000000000,2,"[0.0, 0.0]"
1657054657751,0x708,416943183B623B00,2,"[14.578880310058594, 0.003452003002166748]"
1657054657751,0x709,404FD3BD3FE85811,2,"[3.2472984790802, 1.8151875734329224]"
1657054657773,0x70B,4248565841C41D84,2,"[50.084320068359375, 24.51441192626953]"
1657054657773,0x70C,000000004264DB74,2,"[0.0, 57.21430969238281]"
1657054657773,0x70D,0000000044B705F3,2,"[0.0, 1464.1859130859375]"
1657054657773,0x70E,000000003E24B475,2,"[0.0, 0.16084463894367218]"
1657054657773,0x717,0000000042C7FFFF,2,"[0.0, 99.99999237060547]"
1657054657773,0x041,0000000000000003,1,[3]
1657054657773,0x400,0000000000000000,1,"[[0, 0, 0, 0, 0, 0, 0, 0]]"
1657054657774,0x703,3F43ED4841D620BE,2,"[0.7653393745422363, 26.765987396240234]"
1657054657774,0x232,00000000FFFFFFE3,1,[-0.29]
1657054657774,0x410,047B191DFFD09FF1,2,"[751.7622100000001, -86.24397222291218]"
1657054657774,0x088,000000000000000B,1,[0.11]
1657054657774,0x471,000000000000020C,1,[524]
1657054657774,0x2F0,0053000000000000,4,"[83, 0, 0, 0]"
1657054657774,0x23F,0000000004A505D8,2,"[11.89, 14.96]"
1657054657774,0x035,000000000000000A,1,[10]
1657054657774,0x034,0000000000000820,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]]"
1657054657774,0x033,0000000000000000,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
1657054657774,0x23C,0E8A0EB70E7F0E1C,4,"[37.22, 37.67, 37.11, 36.12]"
1657054657774,0x23D,0E1F0E460E920EBD,4,"[36.15, 36.54, 37.300000000000004, 37.730000000000004]"
1657054657775,0x23E,0E800EC407A10A02,4,"[37.12, 37.800000000000004, 19.53, 25.62]"
1657054657775,0x2F1,000010180FEC1026,3,"[41.2, 40.76, 41.34]"
1657054657775,0x233,00000F05105408FF,3,"[38.45, 41.800000000000004, 23.03]"
1657054657775,0x235,95AA9589958B955E,4,"[3.8314000000000004, 3.8281, 3.8283, 3.8238000000000003]"
1657054657775,0x236,94C8955F955F955E,4,"[3.8088, 3.8239, 3.8239, 3.8238000000000003]"
1657054657775,0x237,95AE957B9583955C,4,"[3.8318000000000003, 3.8267, 3.8275, 3.8236000000000003]"
1657054657775,0x238,94E592B0965195A1,4,"[3.8117, 3.7552000000000003, 3.8481, 3.8305000000000002]"
1657054657775,0x251,0000000000000000,3,"[0, [0, 0, 0, 0, 0, 0, 0, 0], 0.0]"
1657054657775,0x239,95AD9599957994C2,4,"[3.8317, 3.8297000000000003, 3.8265000000000002, 3.8082000000000003]"
1657054657775,0x201,0000000000000000,2,"[0.0, 0.0]"
1657054657775,0x23A,95979581956E9597,4,"[3.8295000000000003, 3.8273, 3.8254, 3.8295000000000003]"
1657054657775,0x23B,95789575955B958A,4,"[3.8264, 3.8261000000000003, 3.8235, 3.8282000000000003]"
1657054657776,0x230,00000000001055FF,1,[107.0591]
1657054657797,0x703,40AE81BB433EB7C9,2,"[5.453336238861084, 190.71791076660156]"
1657054657797,0x234,0000955B965192B0,3,"[3.8235, 3.8481, 3.7552000000000003]"
1657054657797,0x300,0000000000000000,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
1657054657798,0x462,0000000000001000,2,"[16, [0, 0, 0, 0, 0, 0, 0, 0]]"
1657054657798,0x262,0000000000000001,1,"[[1, 0, 0, 0, 0, 0, 0, 0]]"
1657054657798,0x260,0000000000000129,1,[297]
1657054657798,0x250,0000000000000000,2,"[0, 0]"
1657054657798,0x471,000000000000020C,1,[524]
