millis,id,hexString,length,parsedValue
1657032029491,0x070,000000000007A127,1,[0.500007]
1657032029491,0x301,0000000000000000,3,"[0, 0, 0]"
1657032029491,0x251,0000000000000000,3,"[0, [0, 0, 0, 0, 0, 0, 0, 0], 0.0]"
1657032029491,0x201,0000000000000000,2,"[0.0, 0.0]"
1657032029491,0x471,000000000000000C,1,[12]
1657032029491,0x040,000000000007A137,1,[0.500023]
1657032029491,0x050,000000000007A1A0,1,[0.500128]
1657032029491,0x080,000000000007A133,1,[0.500019]
1657032029492,0x400,0000000000000000,1,"[[0, 0, 0, 0, 0, 0, 0, 0]]"
1657032029492,0x462,0000000000001401,2,"[20, [1, 0, 0, 0, 0, 0, 0, 0]]"
1657032029492,0x262,0000000000000001,1,"[[1, 0, 0, 0, 0, 0, 0, 0]]"
1657032029492,0x260,0000000000000000,1,[0]
1657032029492,0x250,0000000000000001,2,"[0, 1]"
1657032029492,0x560,0000000000000000,2,"[0.0, 0.0]"
1657032029492,0x560,0000000000000000,2,"[0.0, 0.0]"
1657032029492,0x570,0000000000000000,2,"[0.0, 0.0]"
1657032029492,0x570,0000000000000000,2,"[0.0, 0.0]"
1657032029492,0x580,FFFD0747FFFA079E,4,"[-0.10546875, 6.688735064338235, -0.2109375, 7.001091452205882]"
1657032029492,0x580,00060750FFFE079E,4,"[0.2109375, 6.721047794117647, -0.0703125, 7.001091452205882]"
1657032029492,0x590,000000000000781E,1,[30.75]
1657032029493,0x561,0000000000000000,2,"[0.0, 0.0]"
1657032029493,0x590,0000000000007602,1,[30.21]
1657032029493,0x571,0000000000000000,2,"[0.0, 0.0]"
1657032029493,0x5A0,0000000000000000,3,"[0, 0, 0]"
1657032029493,0x581,000807FCFFFA084C,4,"[0.28125, 7.3385799632352935, -0.2109375, 7.625804227941176]"
1657032029493,0x591,00000000000077B0,1,[30.64]
1657032029493,0x5A1,0000000000000000,3,"[0, 0, 0]"
1657032029493,0x5B1,188107D10000E12E,4,"[0.9619844360373001, 2001, 0.0, 0.3978327246932949]"
1657032029557,0x5B0,17E107D20000E09E,4,"[0.9374479288213, 2002, 0.0, 0.3968389365318295]"
1657032029557,0x5C1,0000000000000000,1,[0.0]
1657032029557,0x5C0,0000000000000000,1,[0.0]
1657032029557,0x5D1,000000000000FFFF,2,"[0.0, 0.065535]"
1657032029557,0x5D0,000000000000FFFF,2,"[0.0, 0.065535]"
1657032029557,0x5B0,156107D40000E0CE,4,"[0.8393018999573001, 2004, 0.0, 0.39717019925231795]"
1657032029557,0x5C0,0000000000000000,1,[0.0]
1657032029557,0x5D0,000000000000FFFF,2,"[0.0, 0.065535]"
1657032029558,0x041,0000000000000003,1,[3]
1657032029558,0x232,00000000FFFFFFE4,1,[-0.28]
1657032029558,0x410,08DFDEABFFCE2B3C,2,"[1488.8925900000002, -90.71477777850349]"
1657032029558,0x088,000000000000000B,1,[0.11]
1657032029558,0x471,000000000000000C,1,[12]
1657032029558,0x23F,0000000004A505D8,2,"[11.89, 14.96]"
1657032029558,0x035,000000000000000A,1,[10]
1657032029558,0x034,0000000000000000,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
1657032029558,0x033,0000000000000000,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
1657032029558,0x23C,0921091609690919,4,"[23.37, 23.26, 24.09, 23.29]"
1657032029558,0x23D,099408EC087B0938,4,"[24.52, 22.84, 21.71, 23.6]"
1657032029558,0x23E,08E6095007AB0ADC,4,"[22.78, 23.84, 19.63, 27.8]"
1657032029559,0x2F1,00000BE90C260BFE,3,"[30.490000000000002, 31.1, 30.7]"
1657032029559,0x233,00000A9E0C9E0909,3,"[27.18, 32.3, 23.13]"
1657032029559,0x251,0000000000000000,3,"[0, [0, 0, 0, 0, 0, 0, 0, 0], 0.0]"
1657032029559,0x201,0000000000000000,2,"[0.0, 0.0]"
1657032029559,0x235,A2FAA2BCA2BBA294,4,"[4.1722, 4.166, 4.165900000000001, 4.162]"
1657032029559,0x236,A1F6A260A252A255,4,"[4.1462, 4.1568000000000005, 4.1554, 4.1557]"
1657032029559,0x237,A31BA2C5A2CBA2C8,4,"[4.1755, 4.1669, 4.1675, 4.1672]"
1657032029559,0x238,A273A2BEA29DA30F,4,"[4.1587000000000005, 4.1662, 4.1629000000000005, 4.174300000000001]"
1657032029559,0x239,A318A2EEA2C1A22C,4,"[4.1752, 4.171, 4.1665, 4.1516]"
1657032029559,0x23A,A2E9A2CBA2A2A2F8,4,"[4.1705000000000005, 4.1675, 4.1634, 4.172000000000001]"
