target_mph,acceleration,deceleration,try_loop,is_keyboard
25,1,-1,False,True
25,1,-1,False,True
25,1,-1,False,True
25,1,-1,False,True
25,1,-1,False,True
25,1,-1,False,True
25,1,-1,False,True
25,1,-1,False,True
25,1,-1,False,True
25,1,-1,False,True
25,1,-1,False,True
25,1,-1,False,True
25,1,-1,False,True
25,1,-1,False,True
25,1,-1,False,True
25,1,-1,False,True
25,1,-1,False,True
25,1,-1,False,True
25,1,-1,False,True
25,1,-1,False,True
25,1,-1,False,True
25,1,-1,False,True
25,1,-1,False,True
25,1,-1,False,True
25,1,-1,False,True
25,1,-1,False,True
25,1,-1,False,True
25,1,-1,False,True
25,1,-1,False,True
25,1,-1,False,True
25,1,-1,False,True
25,1,-1,False,True
25,1,-1,False,True
27,1,-1,False,True
27,1,-1,False,True
27,1,-1,False,True
27,1,-1,False,True
27,1,-1,False,True
27,1,-1,False,True
27,1,-1,False,True
27,1,-1,False,True
27,1,-1,False,True
27,1,-1,False,True
27,1,-1,False,True
27,1,-1,False,True
27,1,-1,False,True
27,1,-1,False,True
27,1,-1,False,True
27,1,-1,False,True
27,1,-1,False,True
27,1,-1,False,True
27,1,-1,False,True
27,1,-1,False,True
27,1,-1,False,True
27,1,-1,False,True
27,1,-1,False,True
27,1,-1,False,True
27,1,-1,False,True
27,1,-1,False,True
27,1,-1,False,True
27,1,-1,False,True
27,1,-1,False,True
27,1,-1,False,True
27,1,-1,False,True
27,1,-1,False,True
27,1,-1,False,True
27,1,-1,False,True
27,1,-1,False,True
27,1,-1,False,True
29,1,-1,False,True
29,1,-1,False,True
29,1,-1,False,True
29,1,-1,False,True
29,1,-1,False,True
29,1,-1,False,True
29,1,-1,False,True
29,1,-1,False,True
29,1,-1,False,True
29,1,-1,False,True
29,1,-1,False,True
29,1,-1,False,True
29,1,-1,False,True
29,1,-1,False,True
29,1,-1,False,True
29,1,-1,False,True
29,1,-1,False,True
29,1,-1,False,True
29,1,-1,False,True
29,1,-1,False,True
29,1,-1,False,True
29,1,-1,False,True
29,1,-1,False,True
29,1,-1,False,True
29,1,-1,False,True
29,1,-1,False,True
29,1,-1,False,True
29,1,-1,False,True
29,1,-1,False,True
29,1,-1,False,True
29,1,-1,False,True
29,1,-1,False,True
29,1,-1,False,True
29,1,-1,False,True
29,1,-1,False,True
29,1,-1,False,True
29,1,-1,False,True
29,1,-1,False,True
29,1,-1,False,True
29,1,-1,False,True
29,1,-1,False,True
29,1,-1,False,True
29,1,-1,False,True
29,1,-1,False,True
29,1,-1,False,True
29,1,-1,False,True
29,1,-1,False,True
29,1,-1,False,True
29,1,-1,False,True
29,1,-1,False,True
29,1,-1,False,True
29,1,-1,False,True
29,1,-1,False,True
29,1,-1,False,True
29,1,-1,False,True
29,1,-1,False,True
29,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
31,1,-1,False,True
