type,latitude,longitude,altitude (ft),course,slope (%),distance (mi),distance_interval (ft),color,opacity,width,scale,sym,name,desc
T,42.839726000,-106.337014000,5125.9,180.5,2.4,2.362,371.40,,,,,,,
T,42.838579000,-106.337056000,5140.6,180.3,2.8,2.441,418.20,,,,,,,
T,42.837571000,-106.337039000,5160.3,180.0,3.0,2.510,367.41,,,,,,,
T,42.836538000,-106.337041000,5170.2,180.1,3.3,2.582,376.49,,,,,,,
T,42.835673000,-106.337031000,5175.7,180.1,3.2,2.641,315.28,,,,,,,
T,42.835511000,-106.337036000,5177.0,180.2,2.2,2.653,59.06,,,,,,,
T,42.835282000,-106.337026000,5178.7,179.6,1.8,2.668,83.51,,,,,,,
T,42.835095000,-106.337017000,5179.8,179.6,2.0,2.681,68.20,,,,,,,
T,42.835060000,-106.337091000,5180.1,181.4,1.5,2.686,23.60,,,,,,,
T,42.835008000,-106.337285000,5181.4,195.6,1.3,2.696,55.38,,,,,,,
T,42.834568000,-106.338070000,5184.5,218.8,1.1,2.746,264.68,,,,,,,
T,42.834365000,-106.338432000,5185.8,228.4,1.0,2.769,122.08,,,,,,,
T,42.833725000,-106.339455000,5188.9,232.5,1.0,2.838,360.15,,,,,,,
T,42.833106000,-106.340479000,5192.1,231.8,0.9,2.905,355.45,,,,,,,
T,42.832477000,-106.341502000,5195.6,230.7,0.7,2.973,357.58,,,,,,,
T,42.832135000,-106.342038000,5196.3,230.1,0.5,3.009,190.29,,,,,,,
T,42.831984000,-106.342291000,5195.8,229.9,0.2,3.025,87.38,,,,,,,
T,42.831824000,-106.342609000,5194.4,230.6,-1.1,3.045,103.33,,,,,,,
T,42.831734000,-106.342816000,5194.0,231.3,-1.7,3.057,64.49,,,,,,,
T,42.831470000,-106.343508000,5188.4,235.6,-2.0,3.097,209.09,,,,,,,
T,42.831430000,-106.343616000,5187.7,238.7,-1.7,3.103,32.43,,,,,,,
T,42.831130000,-106.344727000,5181.4,244.5,-0.6,3.163,317.45,,,,,,,
T,42.831078000,-106.344954000,5182.9,246.6,0.5,3.175,63.77,,,,,,,
