type,latitude,longitude,altitude (ft),course,slope (%),distance (mi),distance_interval (ft),color,opacity,width,scale,sym,name,desc
T,42.867210000,-106.337497000,5300.1,,,0.000,,#0288d1,1.00,1.2,,,E. Casper to Lander,
T,42.867545000,-106.337432000,5300.8,,0.7,0.023,123.33,,,,,,,
T,42.867587000,-106.337924000,5302.4,,0.7,0.049,132.79,,,,,,,
T,42.867731000,-106.339239000,5304.3,,0.3,0.116,356.43,,,,,,,
T,42.867750000,-106.339412000,5304.6,,0.3,0.125,46.89,,,,,,,
T,42.868661000,-106.339243000,5303.5,318.6,0.2,0.188,335.11,,,,,,,
T,42.869234000,-106.339155000,5304.5,323.2,0.1,0.228,210.17,,,,,,,
T,42.869264000,-106.339150000,5304.6,331.8,-0.1,0.230,11.02,,,,,,,
T,42.869328000,-106.339140000,5304.8,2.6,0.2,0.235,23.48,,,,,,,
T,42.869172000,-106.340190000,5303.7,338.1,-0.1,0.289,287.18,,,,,,,
T,42.869016000,-106.341009000,5304.7,285.3,0.0,0.332,226.81,,,,,,,
T,42.868848000,-106.341677000,5303.7,258.2,-0.0,0.368,189.26,,,,,,,
T,42.868717000,-106.342085000,5304.9,255.7,0.0,0.390,119.35,,,,,,,
T,42.868500000,-106.342615000,5304.4,252.0,-0.2,0.421,162.62,,,,,,,
T,42.868235000,-106.343381000,5303.8,248.2,-0.0,0.464,226.94,,,,,,,
T,42.868100000,-106.343736000,5303.4,245.4,-0.2,0.485,107.14,,,,,,,
T,42.868026000,-106.343930000,5303.6,243.5,-0.4,0.496,58.59,,,,,,,
T,42.868008000,-106.343975000,5303.6,242.9,-0.5,0.498,13.73,,,,,,,
T,42.867587000,-106.344962000,5301.2,242.0,-0.2,0.556,305.88,,,,,,,
T,42.867280000,-106.345671000,5300.1,240.4,-0.3,0.598,220.57,,,,,,,
T,42.867131000,-106.346033000,5301.7,240.1,-0.3,0.619,111.21,,,,,,,
T,42.866992000,-106.346390000,5301.0,240.2,0.2,0.640,108.29,,,,,,,
T,42.866923000,-106.346596000,5300.9,240.5,0.2,0.651,60.68,,,,,,,
T,42.866809000,-106.346948000,5302.4,241.9,0.1,0.671,103.11,,,,,,,
T,42.866697000,-106.347307000,5301.1,244.1,0.6,0.690,104.55,,,,,,,
T,42.866626000,-106.347570000,5302.3,245.9,0.5,0.705,75.11,,,,,,,
T,42.866542000,-106.347899000,5303.7,247.9,0.1,0.722,93.37,,,,,,,
T,42.866464000,-106.348233000,5303.2,249.1,0.6,0.740,93.95,,,,,,,
T,42.866426000,-106.348454000,5302.7,250.9,0.2,0.752,60.85,,,,,,,
T,42.866230000,-106.349985000,5305.8,256.6,0.1,0.831,416.63,,,,,,,
T,42.865979000,-106.352080000,5305.3,258.9,0.0,0.938,569.08,,,,,,,
T,42.865736000,-106.353920000,5304.6,259.7,0.2,1.033,501.20,,,,,,,
T,42.865637000,-106.354670000,5303.7,260.1,0.1,1.072,204.29,,,,,,,
T,42.865160000,-106.358232000,5308.2,260.0,0.2,1.256,970.69,,,,,,,
T,42.864689000,-106.361864000,5308.6,260.0,0.2,1.443,988.78,,,,,,,
T,42.864171000,-106.365912000,5311.0,259.9,-0.8,1.652,1101.61,,,,,,,
T,42.863967000,-106.367433000,5312.7,259.9,-1.4,1.730,414.52,,,,,,,
T,42.862893000,-106.375467000,5257.9,259.8,-1.9,2.145,2189.31,,,,,,,
T,42.862775000,-106.376808000,5239.7,260.1,-3.1,2.213,362.11,,,,,,,
T,42.862720000,-106.377924000,5226.6,260.5,-3.3,2.270,299.89,,,,,,,
T,42.862697000,-106.381347000,5182.7,262.6,-1.1,2.444,917.81,,,,,,,
T,42.862689000,-106.382934000,5174.8,263.6,-0.8,2.525,425.51,,,,,,,
T,42.862602000,-106.394650000,5199.0,268.8,-0.5,3.120,3141.43,,,,,,,
