type,latitude,longitude,altitude (ft),course,slope (%),distance (mi),distance_interval (ft),color,opacity,width,scale,sym,name,desc
W,39.092180328,-94.417052726,1045.6,,,,,#c2185b,,,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,A. Independence,
W,39.037730470,-95.676168265,899.3,,,,,#c2185b,,,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,B. Topeka,
W,40.882933512,-98.373416689,1866.5,,,,,#c2185b,,,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,C. Grand Island,
W,41.828385359,-103.707647140,4119.1,,,,,#c2185b,,,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,D. Gering,
W,42.866811643,-106.336730415,5302.5,,,,,#c2185b,,,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,E. Casper,
W,42.841597575,-108.745826606,5352.0,,,,,#c2185b,,,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,F. Lander,
W,42.322974163,-111.297701666,5980.6,,,,,#c2185b,,,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,G. Montpelier,
W,42.864735055,-112.452639552,4463.6,,,,,#c2185b,,,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,H. Pocatello,
W,42.583990486,-114.471057557,3656.8,,,,,#c2185b,,,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,I. Twin Falls,

type,latitude,longitude,altitude (ft),course,slope (%),distance (mi),distance_interval (ft),color,opacity,width,scale,sym,name,desc
T,39.084830000,-94.432137000,951.0,182.9,-2.9,1.140,231.42,,,,,,,
T,39.084457000,-94.432153000,947.4,182.5,-2.8,1.166,135.93,,,,,,,
T,39.084410000,-94.432155000,946.8,182.0,-3.5,1.169,17.13,,,,,,,
T,39.084367000,-94.432157000,946.3,182.2,-3.9,1.172,15.67,,,,,,,
T,39.083250000,-94.432206000,929.6,181.9,-4.2,1.249,407.08,,,,,,,
T,39.082994000,-94.432215000,925.0,181.9,-4.3,1.267,93.28,,,,,,,
T,39.082873000,-94.432220000,922.9,181.9,-4.3,1.275,44.09,,,,,,,
T,39.082716000,-94.432225000,920.2,181.8,-4.3,1.286,57.20,,,,,,,
T,39.082583000,-94.432230000,918.3,181.8,-2.6,1.295,48.46,,,,,,,
T,39.082379000,-94.432208000,916.0,180.1,-3.6,1.309,74.56,,,,,,,
T,39.081650000,-94.432241000,912.3,180.9,-3.2,1.360,265.69,,,,,,,
T,39.081354000,-94.432248000,903.0,180.8,-3.1,1.380,107.83,,,,,,,
T,39.081026000,-94.432257000,900.3,180.8,-3.1,1.403,119.49,,,,,,,
T,39.080946000,-94.432259000,899.7,180.8,-4.1,1.408,29.14,,,,,,,
T,39.080863000,-94.432261000,899.2,181.6,-2.0,1.414,30.24,,,,,,,
T,39.080712000,-94.432298000,898.3,182.7,-1.2,1.425,55.99,,,,,,,
T,39.080687000,-94.432304000,898.2,183.7,-0.7,1.426,9.26,,,,,,,
T,39.079797000,-94.432381000,894.7,184.5,-0.4,1.488,324.90,,,,,,,
T,39.079544000,-94.432386000,896.2,184.0,0.8,1.505,92.16,,,,,,,
T,39.079409000,-94.432385000,896.8,183.8,1.1,1.515,49.17,,,,,,,
T,39.078852000,-94.432401000,903.5,182.5,3.9,1.553,202.93,,,,,,,
T,39.078742000,-94.432375000,906.0,181.6,4.6,1.561,40.74,,,,,,,
T,39.078238000,-94.432392000,917.0,180.3,5.4,1.596,183.63,,,,,,,
T,39.078067000,-94.432398000,920.9,180.4,6.1,1.607,62.31,,,,,,,
T,39.077402000,-94.432421000,936.1,180.8,4.7,1.653,242.30,,,,,,,
T,39.076689000,-94.432451000,951.3,181.0,2.8,1.702,259.83,,,,,,,
T,39.075834000,-94.432487000,955.7,181.7,2.3,1.761,311.58,,,,,,,
T,39.074982000,-94.432522000,950.0,181.8,1.5,1.820,310.48,,,,,,,
