type,latitude,longitude,altitude (ft),course,slope (%),distance (mi),distance_interval (ft),color,opacity,width,scale,sym,name,desc
T,42.865701000,-112.452995000,4463.6,,,0.000,,#0288d1,1.00,1.2,,,H. Pocatello to Twin Falls,
T,42.865778000,-112.453087000,4463.6,,0.0,0.007,37.36,,,,,,,
T,42.866531000,-112.453948000,4463.6,,0.0,0.075,358.62,,,,,,,
T,42.866831000,-112.454285000,4463.6,,0.0,0.102,141.84,,,,,,,
T,42.867081000,-112.454566000,4463.6,,0.0,0.124,118.23,,,,,,,
T,42.867247000,-112.454755000,4463.6,320.2,0.0,0.139,78.92,,,,,,,
T,42.867292000,-112.454806000,4463.6,320.2,0.0,0.143,21.35,,,,,,,
T,42.866943000,-112.455368000,4463.6,291.6,0.0,0.181,197.18,,,,,,,
T,42.866628000,-112.455879000,4463.6,260.1,0.0,0.214,178.74,,,,,,,
T,42.867378000,-112.456732000,4463.6,280.6,0.0,0.282,356.40,,,,,,,
T,42.867721000,-112.457138000,4463.6,285.2,0.0,0.313,165.76,,,,,,,
T,42.868121000,-112.457612000,4463.6,292.0,0.0,0.350,193.40,,,,,,,
T,42.868873000,-112.458491000,4463.6,310.1,0.0,0.418,361.46,,,,,,,
T,42.869652000,-112.459316000,4463.6,320.2,0.0,0.487,359.90,,,,,,,
T,42.870407000,-112.460186000,4463.6,320.1,0.0,0.555,360.72,,,,,,,
T,42.871164000,-112.461062000,4463.6,320.1,0.0,0.624,362.32,,,,,,,
T,42.871912000,-112.461926000,4463.6,320.2,0.0,0.691,357.73,,,,,,,
T,42.872454000,-112.462594000,4463.6,320.0,0.0,0.742,266.63,,,,,,,
T,42.872746000,-112.462928000,4463.6,319.5,0.0,0.768,139.08,,,,,,,
T,42.872809000,-112.463007000,4463.6,319.3,0.0,0.774,31.24,,,,,,,
T,42.873042000,-112.463265000,4463.6,319.3,0.0,0.795,109.52,,,,,,,
T,42.873422000,-112.463696000,4463.6,319.3,0.1,0.829,180.36,,,,,,,
T,42.874183000,-112.464558000,4463.9,320.2,-0.3,0.897,361.01,,,,,,,
T,42.874930000,-112.465432000,4464.2,320.0,-0.6,0.965,359.19,,,,,,,
T,42.875672000,-112.466300000,4459.4,319.9,-0.9,1.033,356.76,,,,,,,
T,42.877198000,-112.468070000,4452.3,319.7,-1.2,1.171,731.06,,,,,,,
T,42.878033000,-112.469075000,4443.7,319.5,-1.4,1.248,406.44,,,,,,,
T,42.878526000,-112.469668000,4439.1,319.2,-1.4,1.294,239.90,,,,,,,
T,42.880008000,-112.471592000,4430.3,318.4,-1.5,1.435,746.81,,,,,,,
T,42.881249000,-112.473195000,4420.9,317.8,-0.3,1.553,623.86,,,,,,,
T,42.881480000,-112.473483000,4420.9,317.2,0.1,1.575,114.23,,,,,,,
T,42.882739000,-112.475117000,4435.5,316.7,0.7,1.695,634.33,,,,,,,
T,42.883185000,-112.475703000,4440.4,316.5,1.8,1.738,226.04,,,,,,,
T,42.883516000,-112.476122000,4443.1,316.6,1.5,1.769,164.82,,,,,,,
T,42.883721000,-112.476363000,4442.9,316.8,0.2,1.788,98.77,,,,,,,
T,42.884074000,-112.476655000,4439.9,318.1,-1.2,1.816,150.59,,,,,,,
T,42.884385000,-112.476831000,4436.9,322.7,-2.5,1.840,122.77,,,,,,,
T,42.884692000,-112.476952000,4432.4,328.7,-3.3,1.862,116.50,,,,,,,
T,42.884927000,-112.477004000,4428.6,335.4,-3.8,1.878,86.78,,,,,,,
T,42.885157000,-112.477023000,4424.4,341.4,-3.4,1.894,83.98,,,,,,,
T,42.885349000,-112.477030000,4421.8,347.8,-2.6,1.907,70.00,,,,,,,
T,42.885660000,-112.476993000,4420.9,354.7,-1.4,1.929,113.78,,,,,,,
T,42.885910000,-112.476925000,4420.9,0.9,0.8,1.946,92.92,,,,,,,
T,42.886308000,-112.476800000,4421.2,6.2,1.1,1.975,148.88,,,,,,,
T,42.887540000,-112.476356000,4431.4,11.6,1.3,2.063,464.53,,,,,,,
T,42.887875000,-112.476237000,4432.6,13.0,1.4,2.087,126.19,,,,,,,
T,42.888161000,-112.476183000,4433.0,13.3,1.7,2.106,105.24,,,,,,,
T,42.888355000,-112.476169000,4434.2,12.8,0.9,2.120,70.81,,,,,,,
T,42.888570000,-112.476158000,4435.2,11.7,1.0,2.135,78.42,,,,,,,
T,42.888945000,-112.476151000,4436.0,6.1,1.0,2.161,136.69,,,,,,,
T,42.889951000,-112.476174000,4440.1,1.3,1.0,2.230,366.71,,,,,,,
T,42.890106000,-112.476190000,4440.4,359.8,0.9,2.241,56.66,,,,,,,
T,42.890285000,-112.476200000,4441.0,359.3,1.0,2.253,65.30,,,,,,,
T,42.890396000,-112.476203000,4441.4,359.0,0.7,2.261,40.46,,,,,,,
T,42.890510000,-112.476170000,4441.8,359.5,0.8,2.269,42.48,,,,,,,
T,42.890575000,-112.476228000,4441.7,356.4,0.9,2.274,28.33,,,,,,,
T,42.890662000,-112.476164000,4442.2,2.0,0.3,2.281,36.05,,,,,,,
T,42.890772000,-112.476087000,4442.6,9.6,-0.2,2.290,45.09,,,,,,,
T,42.890964000,-112.476322000,4442.2,351.3,-0.1,2.307,94.15,,,,,,,
T,42.891641000,-112.477153000,4440.9,327.5,-0.3,2.370,332.39,,,,,,,
T,42.891835000,-112.477398000,4440.9,325.8,-0.3,2.389,96.49,,,,,,,
T,42.892562000,-112.478274000,4439.8,320.9,-0.4,2.456,354.01,,,,,,,
T,42.892685000,-112.478538000,4439.4,316.8,-0.3,2.472,83.76,,,,,,,
T,42.893028000,-112.478961000,4438.4,316.9,-0.3,2.504,168.76,,,,,,,
T,42.893332000,-112.479406000,4438.1,315.7,-0.2,2.534,162.78,,,,,,,
T,42.893646000,-112.479923000,4438.2,314.4,-0.2,2.568,179.70,,,,,,,
T,42.893875000,-112.480363000,4438.3,310.6,-0.1,2.596,144.46,,,,,,,
T,42.894049000,-112.480702000,4438.1,310.7,-0.1,2.617,110.79,,,,,,,
T,42.894245000,-112.481135000,4437.5,307.4,-0.2,2.643,136.26,,,,,,,
T,42.894408000,-112.481529000,4437.0,304.7,-0.2,2.665,121.15,,,,,,,
T,42.895603000,-112.484471000,4435.6,300.4,-0.2,2.836,900.70,,,,,,,
T,42.895898000,-112.485206000,4435.2,299.7,0.1,2.879,224.40,,,,,,,
T,42.896143000,-112.485798000,4435.5,299.3,0.2,2.913,182.05,,,,,,,
T,42.896527000,-112.486761000,4438.3,299.0,0.5,2.969,293.57,,,,,,,
T,42.896855000,-112.487574000,4441.0,298.9,-0.0,3.016,248.50,,,,,,,
T,42.897142000,-112.488292000,4441.0,298.8,-0.1,3.057,219.00,,,,,,,
T,42.900178000,-112.495722000,4434.0,299.1,-0.1,3.489,2277.79,,,,,,,
T,42.900910000,-112.497581000,4433.3,298.9,-0.3,3.596,565.07,,,,,,,
T,42.901156000,-112.498195000,4433.6,298.9,-0.3,3.631,187.37,,,,,,,
T,42.902109000,-112.500536000,4429.4,299.0,-0.4,3.767,717.02,,,,,,,
T,42.902476000,-112.501426000,4427.5,299.0,-0.4,3.819,273.42,,,,,,,
T,42.902564000,-112.501637000,4426.8,298.8,-0.5,3.831,65.00,,,,,,,
T,42.903019000,-112.502726000,4426.7,299.2,-0.5,3.895,335.62,,,,,,,
T,42.903270000,-112.503366000,4426.2,299.2,-0.9,3.931,194.36,,,,,,,
T,42.903327000,-112.503511000,4425.0,299.2,-0.9,3.940,44.06,,,,,,,
T,42.903465000,-112.503863000,4421.2,299.0,-2.1,3.960,106.89,,,,,,,
T,42.903522000,-112.503998000,4420.1,299.0,-2.0,3.968,41.71,,,,,,,
T,42.903698000,-112.504418000,4415.8,298.7,-1.6,3.992,129.53,,,,,,,
T,42.904104000,-112.505455000,4413.2,298.6,-1.3,4.052,314.80,,,,,,,
T,42.905094000,-112.507874000,4403.2,298.9,-1.1,4.193,741.81,,,,,,,
T,42.905294000,-112.508351000,4403.3,299.1,-0.8,4.220,147.13,,,,,,,
T,42.905465000,-112.508760000,4403.5,299.1,-0.6,4.244,126.07,,,,,,,
T,42.905746000,-112.509516000,4403.3,298.7,-0.3,4.287,226.98,,,,,,,
T,42.906309000,-112.510927000,4403.5,298.8,0.0,4.369,430.15,,,,,,,
T,42.906701000,-112.511873000,4399.5,298.8,0.5,4.424,290.95,,,,,,,
T,42.906854000,-112.512256000,4403.8,298.6,0.5,4.446,116.79,,,,,,,
T,42.907269000,-112.513276000,4410.4,298.6,0.8,4.505,312.35,,,,,,,
T,42.907728000,-112.514413000,4411.6,298.9,1.4,4.571,347.54,,,,,,,
T,42.907898000,-112.514857000,4413.4,298.9,1.2,4.596,134.13,,,,,,,
T,42.908077000,-112.515335000,4414.5,298.5,0.7,4.624,143.73,,,,,,,
T,42.908249000,-112.515834000,4416.5,298.0,0.7,4.652,147.66,,,,,,,
T,42.908442000,-112.516452000,4416.7,296.8,0.5,4.686,179.90,,,,,,,
T,42.908601000,-112.516992000,4417.0,294.8,0.9,4.715,155.85,,,,,,,
T,42.908766000,-112.517601000,4417.3,293.4,0.9,4.748,173.89,,,,,,,
T,42.908966000,-112.518433000,4422.1,291.4,1.2,4.792,234.52,,,,,,,
T,42.909294000,-112.519794000,4426.7,289.8,1.3,4.865,383.73,,,,,,,
T,42.909664000,-112.521349000,4433.7,288.8,1.2,4.948,437.89,,,,,,,
T,42.909844000,-112.522097000,4435.5,288.4,1.1,4.988,210.87,,,,,,,
T,42.910253000,-112.523827000,4437.9,288.1,1.0,5.080,486.87,,,,,,,
T,42.910509000,-112.524892000,4441.7,288.1,0.7,5.137,300.19,,,,,,,
T,42.910644000,-112.525457000,4443.3,288.0,0.6,5.167,159.17,,,,,,,
