type,latitude,longitude,altitude (ft),course,slope (%),distance (mi),distance_interval (ft),color,opacity,width,scale,sym,name,desc
T,40.910425000,-98.391299000,1883.5,237.5,0.3,2.882,238.50,,,,,,,
T,40.910191000,-98.391862000,1883.5,238.8,0.2,2.916,177.44,,,,,,,
T,40.910113000,-98.392050000,1884.2,238.4,0.1,2.927,59.23,,,,,,,
T,40.909132000,-98.394258000,1882.6,238.8,-0.1,3.061,707.27,,,,,,,
T,40.908861000,-98.394771000,1882.8,238.2,-0.0,3.094,172.79,,,,,,,
T,40.908595000,-98.395206000,1882.5,238.2,-0.0,3.123,154.44,,,,,,,
T,40.908340000,-98.395546000,1883.0,236.4,0.2,3.148,132.15,,,,,,,
T,40.907996000,-98.396052000,1883.6,235.0,0.2,3.184,187.81,,,,,,,
T,40.907677000,-98.396447000,1884.2,228.7,0.3,3.214,159.47,,,,,,,
T,40.907048000,-98.397089000,1885.1,224.0,0.1,3.269,289.85,,,,,,,
T,40.906469000,-98.397548000,1885.2,219.8,0.1,3.315,246.17,,,,,,,
T,40.905886000,-98.397950000,1884.2,216.5,-0.0,3.361,239.72,,,,,,,
T,40.905452000,-98.398228000,1884.5,212.9,-0.1,3.394,175.81,,,,,,,
T,40.904488000,-98.398630000,1883.6,207.4,-0.1,3.464,368.39,,,,,,,
T,40.903661000,-98.398928000,1883.9,202.3,0.2,3.523,312.37,,,,,,,
T,40.903061000,-98.399208000,1883.8,200.2,0.0,3.567,231.90,,,,,,,
T,40.902447000,-98.399596000,1886.5,199.9,0.0,3.614,248.09,,,,,,,
T,40.901794000,-98.400082000,1884.9,201.0,0.1,3.666,273.23,,,,,,,
T,40.900840000,-98.401017000,1884.1,206.3,0.1,3.748,433.16,,,,,,,
T,40.900461000,-98.401476000,1885.5,211.0,-0.0,3.783,187.53,,,,,,,
T,40.900361000,-98.401610000,1885.2,213.9,-0.0,3.793,51.96,,,,,,,
T,40.900171000,-98.401863000,1886.0,217.0,0.1,3.812,98.41,,,,,,,
T,40.899811000,-98.402448000,1884.9,222.0,0.1,3.851,208.23,,,,,,,
T,40.899501000,-98.402988000,1885.1,228.1,0.1,3.887,187.20,,,,,,,
T,40.899288000,-98.403423000,1886.5,231.4,0.2,3.914,143.12,,,,,,,
T,40.898872000,-98.404299000,1886.2,233.8,0.3,3.968,285.69,,,,,,,
T,40.898213000,-98.405760000,1888.9,236.4,0.2,4.057,469.88,,,,,,,
T,40.897932000,-98.406383000,1888.8,237.7,0.1,4.095,200.37,,,,,,,
T,40.896326000,-98.409925000,1889.3,238.8,0.1,4.311,1140.74,,,,,,,
T,40.895671000,-98.411360000,1889.4,238.9,0.1,4.398,462.98,,,,,,,
T,40.895239000,-98.412306000,1889.9,239.0,0.1,4.456,305.25,,,,,,,
T,40.894504000,-98.413912000,1890.8,239.0,0.1,4.554,518.52,,,,,,,
T,40.893981000,-98.415052000,1891.9,238.9,0.2,4.624,368.31,,,,,,,
T,40.893262000,-98.416565000,1892.3,238.6,0.2,4.718,493.57,,,,,,,
T,40.892500000,-98.418312000,1893.3,238.9,0.2,4.823,557.12,,,,,,,
T,40.892171000,-98.419028000,1894.2,238.9,0.2,4.867,231.42,,,,,,,
T,40.890076000,-98.423591000,1895.9,238.8,0.2,5.146,1474.55,,,,,,,
