type,latitude,longitude,altitude (ft),course,slope (%),distance (mi),distance_interval (ft),color,opacity,width,scale,sym,name,desc
T,42.322979000,-111.297530000,5981.2,,,0.000,,#0288d1,1.00,1.2,,,G. Montpelier to Pocatello,
T,42.322975000,-111.297804000,5980.3,,-0.4,0.014,74.12,,,,,,,
T,42.324096000,-111.297818000,5979.3,,-0.4,0.091,408.55,,,,,,,
T,42.324201000,-111.297819000,5979.1,,-0.4,0.099,38.27,,,,,,,
T,42.324588000,-111.297801000,5978.6,,-0.4,0.125,141.12,,,,,,,
T,42.324929000,-111.297801000,5977.9,354.1,-0.6,0.149,124.27,,,,,,,
T,42.325440000,-111.297802000,5976.7,0.0,-0.6,0.184,186.23,,,,,,,
T,42.326395000,-111.297814000,5974.2,0.1,-0.7,0.250,348.05,,,,,,,
T,42.326429000,-111.297814000,5974.1,0.1,-0.7,0.252,12.39,,,,,,,
T,42.326782000,-111.297815000,5973.1,359.7,-0.7,0.277,128.65,,,,,,,
T,42.327559000,-111.297826000,5971.0,359.6,-0.7,0.330,283.18,,,,,,,
T,42.328178000,-111.297812000,5969.5,359.8,-0.8,0.373,225.62,,,,,,,
T,42.328520000,-111.297819000,5968.4,359.9,-0.9,0.397,124.65,,,,,,,
T,42.328586000,-111.297818000,5968.2,359.9,-0.8,0.401,24.05,,,,,,,
T,42.329404000,-111.297813000,5964.7,0.0,-0.8,0.458,298.11,,,,,,,
T,42.330315000,-111.297801000,5963.5,0.4,-0.6,0.521,332.02,,,,,,,
T,42.330841000,-111.297810000,5961.5,0.0,-0.6,0.557,191.71,,,,,,,
T,42.332140000,-111.297785000,5960.1,0.4,-0.4,0.647,473.45,,,,,,,
T,42.332288000,-111.297784000,5960.3,0.4,-0.5,0.657,53.94,,,,,,,
T,42.332471000,-111.297781000,5960.1,0.4,-0.3,0.670,66.70,,,,,,,
T,42.332650000,-111.297778000,5959.5,0.4,-0.3,0.682,65.24,,,,,,,
T,42.333499000,-111.297762000,5958.8,0.8,-0.3,0.740,309.44,,,,,,,
T,42.333806000,-111.297751000,5958.0,0.9,-0.4,0.762,111.92,,,,,,,
T,42.334552000,-111.297723000,5957.8,1.1,-0.3,0.813,271.97,,,,,,,
T,42.335791000,-111.297693000,5954.7,1.1,-0.1,0.899,451.61,,,,,,,
T,42.337043000,-111.297655000,5954.0,1.2,-0.1,0.985,456.39,,,,,,,
T,42.339585000,-111.297624000,5956.0,1.0,0.0,1.161,926.43,,,,,,,
T,42.340752000,-111.297609000,5955.5,0.9,0.2,1.241,425.32,,,,,,,
T,42.342271000,-111.297574000,5959.0,0.8,0.4,1.346,553.66,,,,,,,
T,42.342838000,-111.297577000,5959.8,0.7,0.6,1.385,206.64,,,,,,,
T,42.343711000,-111.297581000,5964.1,0.5,0.9,1.445,318.15,,,,,,,
T,42.344050000,-111.297604000,5965.4,0.2,1.1,1.469,123.70,,,,,,,
