type,latitude,longitude,altitude (ft),course,slope (%),distance (mi),distance_interval (ft),color,opacity,width,scale,sym,name,desc
T,39.037025000,-95.676469000,898.5,,,0.000,,#9c27b0,1.00,1.2,,,AL. Topeka Loop,
T,39.036979000,-95.676485000,898.1,,0.8,0.003,17.36,,,,,,,
T,39.036977000,-95.677214000,900.2,,0.7,0.043,207.08,,,,,,,
T,39.036971000,-95.677420000,900.8,,0.8,0.054,58.56,,,,,,,
T,39.036966000,-95.677662000,900.8,,1.0,0.067,68.77,,,,,,,
T,39.036966000,-95.677762000,901.6,266.6,1.0,0.072,28.41,,,,,,,
T,39.036967000,-95.678258000,903.2,269.5,1.0,0.099,140.89,,,,,,,
T,39.036961000,-95.678346000,903.5,269.0,1.5,0.103,25.09,,,,,,,
T,39.036951000,-95.678470000,903.9,268.6,1.1,0.110,35.41,,,,,,,
T,39.036952000,-95.678786000,905.5,269.1,0.7,0.127,89.76,,,,,,,
T,39.036963000,-95.678942000,905.4,269.8,0.4,0.136,44.49,,,,,,,
T,39.036963000,-95.679152000,905.0,269.7,0.1,0.147,59.65,,,,,,,
T,39.036963000,-95.679350000,904.5,270.1,-0.3,0.158,56.24,,,,,,,
T,39.036962000,-95.679694000,904.2,270.7,-0.3,0.176,97.72,,,,,,,
T,39.036961000,-95.680334000,904.1,270.4,-0.2,0.210,181.80,,,,,,,
T,39.036961000,-95.680443000,904.1,269.9,-0.3,0.216,30.96,,,,,,,
T,39.036960000,-95.680971000,903.7,269.9,-0.3,0.245,149.98,,,,,,,
T,39.036959000,-95.681494000,902.6,269.9,-0.3,0.273,148.56,,,,,,,
T,39.036959000,-95.681600000,902.6,269.9,-0.3,0.279,30.11,,,,,,,
T,39.036958000,-95.682241000,902.5,269.9,-0.2,0.313,182.08,,,,,,,
T,39.036957000,-95.682751000,902.3,269.9,0.0,0.340,144.87,,,,,,,
T,39.036957000,-95.682867000,902.4,269.9,0.7,0.347,32.95,,,,,,,
T,39.037037000,-95.682866000,902.7,274.2,1.3,0.352,29.14,,,,,,,
T,39.037721000,-95.682865000,907.1,307.8,1.6,0.399,249.13,,,,,,,
T,39.038282000,-95.682864000,910.9,339.9,2.0,0.438,204.33,,,,,,,
T,39.038345000,-95.682864000,911.2,356.4,2.2,0.442,22.95,,,,,,,
T,39.038879000,-95.682862000,916.4,0.1,2.4,0.479,194.50,,,,,,,
T,39.039541000,-95.682861000,923.1,0.1,2.7,0.525,241.12,,,,,,,
T,39.039678000,-95.682861000,924.4,0.1,2.7,0.534,49.90,,,,,,,
T,39.039743000,-95.682861000,925.0,0.1,2.9,0.539,23.67,,,,,,,
T,39.039806000,-95.682861000,925.6,0.1,2.6,0.543,22.95,,,,,,,
T,39.040674000,-95.682859000,935.2,0.1,2.1,0.603,316.15,,,,,,,
T,39.041308000,-95.682857000,940.1,0.1,2.0,0.647,230.92,,,,,,,
T,39.042643000,-95.682855000,946.6,0.1,2.0,0.739,486.24,,,,,,,
T,39.042711000,-95.682854000,946.9,0.1,1.2,0.744,24.77,,,,,,,
T,39.042793000,-95.682854000,947.2,0.1,1.0,0.749,29.87,,,,,,,
T,39.044020000,-95.682852000,950.5,0.1,0.7,0.834,446.91,,,,,,,
T,39.044101000,-95.682848000,950.6,0.1,0.6,0.840,29.52,,,,,,,
T,39.044282000,-95.682814000,950.7,1.1,0.5,0.852,66.63,,,,,,,
T,39.044443000,-95.682756000,950.7,2.5,0.1,0.864,60.91,,,,,,,
T,39.044563000,-95.682712000,950.7,3.6,-0.0,0.872,45.46,,,,,,,
T,39.044607000,-95.682694000,950.7,11.8,-0.3,0.876,16.82,,,,,,,
T,39.044690000,-95.682664000,950.5,13.6,-0.5,0.881,31.41,,,,,,,
T,39.045139000,-95.682471000,949.8,17.3,-0.5,0.914,172.48,,,,,,,
T,39.045884000,-95.682152000,948.2,18.0,-0.6,0.968,286.08,,,,,,,
T,39.045970000,-95.682115000,948.0,18.2,-0.7,0.975,33.04,,,,,,,
T,39.046063000,-95.682075000,947.5,18.3,-0.9,0.981,35.73,,,,,,,
T,39.046442000,-95.681913000,945.9,18.4,-1.2,1.009,145.51,,,,,,,
T,39.046853000,-95.681737000,944.1,18.4,-1.2,1.039,157.82,,,,,,,
T,39.047274000,-95.681556000,942.0,18.4,-1.1,1.069,161.73,,,,,,,
T,39.047424000,-95.681492000,941.4,18.4,-1.1,1.080,57.58,,,,,,,
T,39.047548000,-95.681438000,941.0,18.4,-1.0,1.089,47.70,,,,,,,
T,39.047957000,-95.681263000,939.5,18.4,-0.9,1.119,157.04,,,,,,,
T,39.048777000,-95.680912000,936.8,18.4,-0.9,1.179,314.86,,,,,,,
T,39.048869000,-95.680872000,936.6,18.4,-0.7,1.185,35.38,,,,,,,
T,39.048961000,-95.680833000,936.3,18.4,-0.7,1.192,35.29,,,,,,,
T,39.049594000,-95.680561000,935.3,18.4,-0.6,1.238,243.15,,,,,,,
T,39.050160000,-95.680319000,933.9,18.4,-0.6,1.279,217.31,,,,,,,
T,39.050317000,-95.680251000,933.3,18.4,-0.5,1.291,60.36,,,,,,,
T,39.050470000,-95.680186000,933.1,18.4,-0.6,1.302,58.70,,,,,,,
T,39.050768000,-95.680058000,933.0,18.4,-0.4,1.324,114.47,,,,,,,
T,39.051208000,-95.679869000,931.9,18.4,-0.4,1.356,169.01,,,,,,,
T,39.051335000,-95.679815000,931.9,18.4,-0.4,1.365,48.73,,,,,,,
T,39.051667000,-95.679672000,931.4,18.4,-0.4,1.389,127.56,,,,,,,
T,39.051761000,-95.679632000,931.3,18.4,-0.2,1.396,36.07,,,,,,,
T,39.051853000,-95.679593000,931.3,18.4,-0.3,1.402,35.29,,,,,,,
T,39.052076000,-95.679497000,931.2,18.4,-0.5,1.419,85.68,,,,,,,
T,39.052406000,-95.679355000,930.5,18.4,-0.5,1.443,126.78,,,,,,,
T,39.053055000,-95.679077000,928.9,18.4,-0.5,1.490,249.22,,,,,,,
T,39.053211000,-95.679011000,928.5,18.4,-0.2,1.501,59.83,,,,,,,
T,39.053359000,-95.678948000,928.3,18.4,0.0,1.512,56.80,,,,,,,
T,39.053979000,-95.678683000,929.6,18.4,0.3,1.557,238.03,,,,,,,
T,39.054566000,-95.678434000,930.6,18.3,0.4,1.600,225.19,,,,,,,
T,39.054648000,-95.678399000,930.8,18.3,0.5,1.606,31.48,,,,,,,
T,39.054746000,-95.678357000,931.0,18.3,0.4,1.613,37.63,,,,,,,
T,39.055949000,-95.677845000,933.1,18.3,0.4,1.700,461.66,,,,,,,
T,39.056003000,-95.677822000,933.0,18.3,0.4,1.704,20.72,,,,,,,
T,39.056038000,-95.677807000,933.0,18.3,-0.1,1.707,13.44,,,,,,,
T,39.056130000,-95.677758000,932.9,18.6,-0.7,1.714,36.28,,,,,,,
T,39.056895000,-95.677427000,930.4,18.6,-0.8,1.769,294.06,,,,,,,
T,39.056993000,-95.677409000,930.1,18.0,-0.8,1.776,36.06,,,,,,,
T,39.057158000,-95.677336000,929.4,18.1,-0.8,1.788,63.57,,,,,,,
T,39.057333000,-95.677264000,929.1,18.0,-1.0,1.801,66.94,,,,,,,
T,39.057418000,-95.677201000,928.8,18.6,-1.8,1.808,35.76,,,,,,,
T,39.057504000,-95.677139000,928.1,20.2,-2.0,1.814,35.93,,,,,,,
T,39.057862000,-95.676986000,924.0,20.7,-3.2,1.840,137.44,,,,,,,
T,39.057959000,-95.676972000,923.0,19.4,-3.3,1.847,35.55,,,,,,,
T,39.058620000,-95.676683000,913.1,19.3,-4.0,1.895,254.36,,,,,,,
T,39.058932000,-95.676571000,909.8,17.9,-4.0,1.918,118.01,,,,,,,
T,39.059873000,-95.676166000,892.1,17.7,-3.9,1.986,361.52,,,,,,,
T,39.060000000,-95.676090000,891.0,18.0,-3.4,1.996,51.04,,,,,,,
T,39.060135000,-95.676033000,890.2,18.5,-3.3,2.006,51.77,,,,,,,
T,39.060590000,-95.675835000,887.2,18.5,-1.6,2.039,175.00,,,,,,,
T,39.060895000,-95.675703000,885.0,18.9,-1.1,2.061,117.24,,,,,,,
T,39.061266000,-95.675544000,883.5,19.1,-2.4,2.088,142.47,,,,,,,
T,39.061954000,-95.675248000,882.7,18.5,-0.3,2.138,264.31,,,,,,,
T,39.064011000,-95.674363000,855.1,18.5,-0.2,2.288,790.24,,,,,,,
T,39.069481000,-95.672009000,878.5,18.5,-0.1,2.686,2101.46,,,,,,,
T,39.069718000,-95.671910000,879.3,18.5,-0.1,2.703,90.78,,,,,,,
T,39.069882000,-95.671861000,879.7,18.4,1.0,2.714,61.33,,,,,,,
T,39.070364000,-95.671641000,879.2,18.4,0.1,2.750,186.34,,,,,,,
T,39.070435000,-95.671611000,879.0,18.4,-0.2,2.755,27.23,,,,,,,
