type,latitude,longitude,altitude (ft),course,slope (%),distance (mi),distance_interval (ft),color,opacity,width,scale,sym,name,desc
T,41.828383000,-103.707656000,4119.1,,,0.000,,#0288d1,1.00,1.2,,,D. Gering to Casper,
T,41.828408000,-103.707706000,4119.2,,-0.0,0.003,16.39,,,,,,,
T,41.828439000,-103.707768000,4119.2,,0.2,0.007,20.33,,,,,,,
T,41.828493000,-103.707879000,4119.1,,0.4,0.014,36.09,,,,,,,
T,41.828458000,-103.707955000,4119.3,,0.5,0.018,24.33,,,,,,,
T,41.828436000,-103.707988000,4119.6,282.1,1.0,0.021,12.05,,,,,,,
T,41.828421000,-103.708006000,4119.7,273.3,1.7,0.022,7.34,,,,,,,
T,41.828368000,-103.708055000,4120.2,251.6,1.9,0.027,23.48,,,,,,,
T,41.828342000,-103.708072000,4120.4,223.6,1.8,0.029,10.55,,,,,,,
T,41.828301000,-103.708097000,4120.7,214.0,1.6,0.032,16.42,,,,,,,
T,41.828227000,-103.708132000,4121.1,207.2,1.4,0.037,28.60,,,,,,,
T,41.828166000,-103.708188000,4121.4,208.0,1.2,0.042,26.96,,,,,,,
T,41.828126000,-103.708224000,4121.6,207.5,0.5,0.045,17.57,,,,,,,
T,41.828061000,-103.708282000,4121.8,209.1,1.8,0.051,28.48,,,,,,,
T,41.828500000,-103.709239000,4122.8,283.2,3.1,0.109,305.98,,,,,,,
T,41.829134000,-103.710618000,4135.5,296.1,3.4,0.192,441.17,,,,,,,
T,41.830115000,-103.712757000,4167.6,299.8,3.3,0.322,683.85,,,,,,,
T,41.830717000,-103.714054000,4185.4,300.8,2.2,0.401,416.02,,,,,,,
T,41.830803000,-103.714241000,4185.1,301.7,1.4,0.412,59.83,,,,,,,
T,41.831481000,-103.715718000,4169.0,301.7,-1.1,0.501,472.31,,,,,,,
T,41.831872000,-103.716535000,4162.7,301.8,-2.8,0.552,264.35,,,,,,,
T,41.832223000,-103.717197000,4151.9,302.5,-2.0,0.593,221.16,,,,,,,
T,41.832533000,-103.717748000,4151.7,303.4,-1.7,0.629,187.91,,,,,,,
T,41.832905000,-103.718353000,4157.5,304.5,-1.8,0.669,213.45,,,,,,,
T,41.833144000,-103.718728000,4151.5,306.6,-1.0,0.695,134.27,,,,,,,
T,41.833361000,-103.719051000,4146.9,308.5,-2.2,0.717,118.33,,,,,,,
T,41.833617000,-103.719407000,4143.7,310.3,-4.8,0.743,134.59,,,,,,,
T,41.834181000,-103.720132000,4132.3,312.9,-4.7,0.797,285.09,,,,,,,
T,41.835382000,-103.721664000,4096.3,315.1,-5.3,0.911,604.85,,,,,,,
T,41.836579000,-103.723182000,4068.9,316.0,-5.2,1.025,601.16,,,,,,,
T,41.837158000,-103.723938000,4045.3,316.2,-5.1,1.081,294.89,,,,,,,
T,41.838144000,-103.725194000,4024.2,316.4,-4.0,1.175,496.23,,,,,,,
T,41.838386000,-103.725502000,4024.2,316.4,-2.6,1.198,121.74,,,,,,,
T,41.838909000,-103.726193000,4025.3,316.3,0.1,1.249,267.92,,,,,,,
T,41.839499000,-103.726973000,4029.7,316.0,2.0,1.306,302.33,,,,,,,
T,41.840179000,-103.727825000,4046.2,316.2,1.3,1.370,339.57,,,,,,,
T,41.840648000,-103.728412000,4050.0,316.2,1.2,1.415,234.08,,,,,,,
T,41.841339000,-103.729268000,4044.0,316.5,1.1,1.480,343.24,,,,,,,
T,41.841843000,-103.729900000,4042.8,316.7,-0.3,1.527,251.77,,,,,,,
T,41.841855000,-103.729916000,4042.8,317.1,-0.8,1.529,6.17,,,,,,,
T,41.842104000,-103.730241000,4042.9,316.9,-0.6,1.553,126.79,,,,,,,
T,41.842621000,-103.730898000,4041.8,316.8,-0.7,1.602,259.89,,,,,,,
T,41.843464000,-103.731974000,4037.8,316.5,-0.7,1.682,424.65,,,,,,,
T,41.843680000,-103.732259000,4036.5,316.3,-0.8,1.703,110.57,,,,,,,
T,41.843987000,-103.732648000,4035.6,316.3,-1.0,1.732,154.11,,,,,,,
T,41.844340000,-103.733093000,4033.3,316.5,-0.8,1.766,176.78,,,,,,,
T,41.844506000,-103.733291000,4032.2,316.6,-1.1,1.781,81.05,,,,,,,
T,41.844879000,-103.733776000,4031.7,316.5,-1.1,1.817,189.58,,,,,,,
T,41.845025000,-103.733949000,4029.3,316.9,-1.1,1.831,71.08,,,,,,,
T,41.845177000,-103.734117000,4028.8,317.4,-1.2,1.844,71.86,,,,,,,
T,41.845330000,-103.734275000,4027.8,318.3,-1.8,1.858,70.44,,,,,,,
T,41.845547000,-103.734481000,4026.1,319.6,-1.3,1.876,96.97,,,,,,,
T,41.845797000,-103.734689000,4024.0,323.5,-1.9,1.896,107.29,,,,,,,
T,41.846022000,-103.734854000,4023.8,325.9,-1.8,1.914,93.51,,,,,,,
T,41.846232000,-103.734994000,4020.1,328.2,-2.0,1.930,85.51,,,,,,,
T,41.846431000,-103.735111000,4019.3,330.5,-1.9,1.945,79.21,,,,,,,
T,41.846716000,-103.735252000,4016.8,333.8,-1.9,1.966,110.73,,,,,,,
T,41.846945000,-103.735347000,4015.5,336.9,-1.7,1.983,87.37,,,,,,,
T,41.847153000,-103.735426000,4015.4,339.4,-2.2,1.998,78.79,,,,,,,
T,41.847336000,-103.735480000,4012.8,341.8,-2.2,2.010,68.29,,,,,,,
T,41.847584000,-103.735546000,4009.9,344.3,-2.3,2.028,92.14,,,,,,,
T,41.847852000,-103.735596000,4007.4,347.3,-2.4,2.047,98.61,,,,,,,
T,41.848070000,-103.735622000,4005.8,349.7,-2.0,2.062,79.76,,,,,,,
T,41.848612000,-103.735647000,4002.3,353.6,-1.7,2.099,197.62,,,,,,,
T,41.849403000,-103.735651000,3997.5,356.5,-1.5,2.154,288.25,,,,,,,
T,41.850176000,-103.735658000,3994.0,358.2,-1.5,2.207,281.69,,,,,,,
T,41.851052000,-103.735672000,3989.5,359.0,-1.6,2.268,319.24,,,,,,,
T,41.851148000,-103.735674000,3989.0,359.3,-1.5,2.274,34.99,,,,,,,
T,41.854038000,-103.735718000,3970.7,359.4,-1.4,2.474,1053.20,,,,,,,
T,41.854802000,-103.735724000,3968.9,359.4,-1.2,2.526,278.41,,,,,,,
T,41.855592000,-103.735736000,3966.6,359.4,-1.2,2.581,287.90,,,,,,,
T,41.857936000,-103.735766000,3959.5,359.4,-1.0,2.743,854.20,,,,,,,
T,41.858375000,-103.735770000,3958.0,359.4,-1.1,2.773,159.98,,,,,,,
T,41.859495000,-103.735783000,3951.5,359.5,-1.2,2.850,408.15,,,,,,,
T,41.860258000,-103.735801000,3947.2,359.4,-1.3,2.903,278.08,,,,,,,
T,41.861030000,-103.735805000,3943.3,359.5,-1.2,2.956,281.32,,,,,,,
T,41.863351000,-103.735835000,3934.8,359.5,-1.1,3.116,845.82,,,,,,,
T,41.864126000,-103.735838000,3932.4,359.5,-1.0,3.170,282.42,,,,,,,
T,41.864600000,-103.735847000,3931.3,359.5,-0.9,3.203,172.75,,,,,,,
T,41.865160000,-103.735868000,3930.0,359.4,-0.6,3.241,204.15,,,,,,,
T,41.865314000,-103.735838000,3929.9,359.7,-0.4,3.252,56.71,,,,,,,
T,41.865579000,-103.735839000,3930.1,359.9,-0.4,3.270,96.57,,,,,,,
T,41.865680000,-103.735839000,3930.1,360.0,-0.3,3.277,36.80,,,,,,,
T,41.865703000,-103.734226000,3928.3,47.6,-0.3,3.361,439.45,,,,,,,
T,41.865708000,-103.733871000,3927.7,69.8,-0.4,3.379,96.72,,,,,,,
T,41.865708000,-103.733841000,3927.7,75.2,-0.5,3.380,8.17,,,,,,,
T,41.865710000,-103.733749000,3927.7,85.2,-1.0,3.385,25.07,,,,,,,
T,41.865737000,-103.733423000,3927.1,88.2,-1.3,3.402,89.34,,,,,,,
T,41.865780000,-103.729334000,3914.6,88.8,-1.0,3.613,1113.92,,,,,,,
T,41.865821000,-103.726701000,3901.7,88.8,-1.0,3.749,717.36,,,,,,,
