type,latitude,longitude,altitude (ft),course,slope (%),distance (mi),distance_interval (ft),color,opacity,width,scale,sym,name,desc
T,42.864752000,-112.452612000,4463.6,,,0.000,,#9c27b0,1.00,1.2,,,GL. Pocatello Loop,
T,42.864714000,-112.452673000,4463.6,,0.0,0.004,21.43,,,,,,,
T,42.864355000,-112.453245000,4463.6,,0.0,0.042,201.59,,,,,,,
T,42.864409000,-112.453308000,4463.6,,0.0,0.047,25.94,,,,,,,
T,42.864586000,-112.453514000,4463.6,,0.0,0.063,84.92,,,,,,,
T,42.864878000,-112.453856000,4463.6,277.9,0.0,0.090,140.48,,,,,,,
T,42.864994000,-112.453993000,4463.6,286.1,0.0,0.100,56.01,,,,,,,
T,42.865115000,-112.454135000,4463.6,319.4,0.0,0.111,58.26,,,,,,,
T,42.865417000,-112.454481000,4463.6,319.5,0.0,0.139,143.95,,,,,,,
T,42.865875000,-112.455007000,4463.6,319.7,0.0,0.180,218.52,,,,,,,
T,42.866628000,-112.455879000,4463.6,319.7,0.0,0.248,360.52,,,,,,,
T,42.867378000,-112.456732000,4463.6,319.9,0.0,0.316,356.40,,,,,,,
T,42.868121000,-112.457612000,4463.6,319.7,0.0,0.384,359.16,,,,,,,
T,42.868808000,-112.458415000,4463.6,319.6,0.0,0.446,330.21,,,,,,,
T,42.868873000,-112.458491000,4463.6,319.6,0.0,0.452,31.25,,,,,,,
T,42.869652000,-112.459316000,4463.6,320.2,0.0,0.521,359.90,,,,,,,
T,42.870407000,-112.460186000,4463.6,320.1,0.0,0.589,360.72,,,,,,,
T,42.871164000,-112.461062000,4463.6,320.3,0.0,0.657,362.32,,,,,,,
T,42.871912000,-112.461926000,4463.6,320.3,0.0,0.725,357.73,,,,,,,
T,42.872454000,-112.462594000,4463.6,320.0,0.0,0.776,266.63,,,,,,,
T,42.872585000,-112.462744000,4463.6,319.4,0.0,0.788,62.42,,,,,,,
T,42.872746000,-112.462928000,4463.6,319.3,0.0,0.802,76.66,,,,,,,
T,42.872809000,-112.463007000,4463.6,319.1,0.0,0.808,31.24,,,,,,,
T,42.873042000,-112.463265000,4463.6,319.0,0.0,0.829,109.52,,,,,,,
T,42.873422000,-112.463696000,4463.6,320.2,0.1,0.863,180.36,,,,,,,
T,42.874183000,-112.464558000,4463.9,320.2,-0.3,0.931,361.01,,,,,,,
T,42.874930000,-112.465432000,4464.2,320.0,-0.6,0.999,359.19,,,,,,,
T,42.875672000,-112.466300000,4459.4,319.9,-1.0,1.067,356.76,,,,,,,
T,42.877198000,-112.468070000,4452.3,319.7,-1.2,1.205,731.06,,,,,,,
T,42.878526000,-112.469668000,4439.1,319.4,-1.4,1.328,646.34,,,,,,,
T,42.880008000,-112.471592000,4430.3,318.5,-1.3,1.469,746.81,,,,,,,
T,42.881249000,-112.473195000,4420.9,318.0,-0.6,1.587,623.86,,,,,,,
T,42.881480000,-112.473483000,4420.9,317.8,0.1,1.609,114.23,,,,,,,
T,42.882739000,-112.475117000,4435.5,317.0,0.7,1.729,634.33,,,,,,,
T,42.883185000,-112.475703000,4440.4,316.5,1.8,1.772,226.04,,,,,,,
T,42.883516000,-112.476122000,4443.1,316.6,1.5,1.803,164.82,,,,,,,
