type,latitude,longitude,altitude (ft),course,slope (%),distance (mi),distance_interval (ft),color,opacity,width,scale,sym,name,desc
T,42.841582000,-108.745865000,5352.2,,,0.000,,#9c27b0,1.00,1.2,,,EL. Lander Loop,
T,42.841637000,-108.745707000,5352.0,,-1.1,0.009,46.88,,,,,,,
T,42.841901000,-108.745868000,5350.6,,-1.1,0.029,105.46,,,,,,,
T,42.841938000,-108.745893000,5350.4,,-0.4,0.032,15.06,,,,,,,
T,42.842950000,-108.746580000,5346.0,,0.1,0.110,412.30,,,,,,,
T,42.844027000,-108.747311000,5347.9,336.6,0.2,0.193,438.77,,,,,,,
T,42.847699000,-108.749802000,5355.7,333.7,0.4,0.476,1495.80,,,,,,,
T,42.848800000,-108.750528000,5357.6,333.7,0.7,0.561,446.02,,,,,,,
T,42.849700000,-108.751122000,5363.8,333.7,0.8,0.630,364.65,,,,,,,
T,42.850547000,-108.751856000,5369.0,333.0,1.3,0.699,366.12,,,,,,,
T,42.850989000,-108.752306000,5372.3,332.3,1.6,0.737,201.28,,,,,,,
T,42.851660000,-108.753128000,5377.2,328.4,1.5,0.800,329.24,,,,,,,
T,42.852256000,-108.754090000,5382.8,322.9,1.7,0.863,337.25,,,,,,,
T,42.852668000,-108.754866000,5386.7,317.2,1.8,0.912,256.62,,,,,,,
T,42.853376000,-108.756561000,5397.0,309.4,1.6,1.011,522.67,,,,,,,
T,42.854178000,-108.758396000,5407.8,305.5,1.7,1.119,572.34,,,,,,,
T,42.854870000,-108.760069000,5412.6,302.2,2.4,1.217,514.66,,,,,,,
T,42.855146000,-108.760697000,5418.5,300.8,3.1,1.254,196.16,,,,,,,
T,42.856882000,-108.764788000,5461.6,300.1,3.4,1.494,1266.38,,,,,,,
T,42.859154000,-108.770096000,5527.7,300.2,4.0,1.806,1646.64,,,,,,,
T,42.859608000,-108.771060000,5543.4,300.3,4.2,1.864,306.91,,,,,,,
T,42.860006000,-108.771759000,5558.8,300.9,4.8,1.909,237.00,,,,,,,
T,42.860592000,-108.772595000,5575.3,302.0,5.2,1.967,309.61,,,,,,,
T,42.861161000,-108.773254000,5594.0,304.6,4.6,2.019,272.45,,,,,,,
T,42.861818000,-108.773897000,5601.7,313.7,0.3,2.075,295.06,,,,,,,
