type,latitude,longitude,altitude (ft),course,slope (%),distance (mi),distance_interval (ft),color,opacity,width,scale,sym,name,desc
T,39.037027000,-95.676469000,898.5,,,0.000,,#0288d1,1.00,1.2,,,B. Topeka to Grand Island,
T,39.036979000,-95.676485000,898.1,,0.8,0.003,18.06,,,,,,,
T,39.036977000,-95.677214000,900.2,,0.6,0.043,207.08,,,,,,,
T,39.036971000,-95.677420000,900.8,,0.8,0.054,58.56,,,,,,,
T,39.036966000,-95.677662000,900.8,,1.0,0.067,68.77,,,,,,,
T,39.036966000,-95.677762000,901.6,266.5,1.0,0.072,28.41,,,,,,,
T,39.036967000,-95.678258000,903.2,269.5,1.0,0.099,140.89,,,,,,,
T,39.036961000,-95.678346000,903.5,269.0,1.5,0.104,25.09,,,,,,,
T,39.036951000,-95.678470000,903.9,268.6,1.1,0.110,35.41,,,,,,,
T,39.036952000,-95.678786000,905.5,269.1,0.7,0.127,89.76,,,,,,,
T,39.036963000,-95.678942000,905.4,269.8,0.4,0.136,44.49,,,,,,,
T,39.036963000,-95.679152000,905.0,269.7,0.1,0.147,59.65,,,,,,,
T,39.036963000,-95.679350000,904.5,270.1,-0.3,0.158,56.24,,,,,,,
T,39.036962000,-95.679694000,904.2,270.7,-0.3,0.176,97.72,,,,,,,
T,39.036961000,-95.680334000,904.1,270.4,-0.2,0.211,181.80,,,,,,,
T,39.036961000,-95.680443000,904.1,269.9,-0.3,0.216,30.96,,,,,,,
T,39.036960000,-95.680971000,903.7,269.9,-0.3,0.245,149.98,,,,,,,
T,39.036959000,-95.681494000,902.6,269.9,-0.3,0.273,148.56,,,,,,,
T,39.036959000,-95.681600000,902.6,269.9,-0.3,0.279,30.11,,,,,,,
T,39.036958000,-95.682241000,902.5,269.9,-0.2,0.313,182.08,,,,,,,
T,39.036957000,-95.682751000,902.3,269.9,0.0,0.341,144.87,,,,,,,
T,39.036957000,-95.682867000,902.4,269.9,0.7,0.347,32.95,,,,,,,
T,39.037037000,-95.682866000,902.7,274.2,1.3,0.352,29.14,,,,,,,
T,39.037721000,-95.682865000,907.1,307.8,1.6,0.400,249.13,,,,,,,
T,39.038282000,-95.682864000,910.9,339.9,2.0,0.438,204.33,,,,,,,
T,39.038345000,-95.682864000,911.2,356.4,2.2,0.443,22.95,,,,,,,
T,39.038879000,-95.682862000,916.4,0.1,2.4,0.479,194.50,,,,,,,
T,39.039541000,-95.682861000,923.1,0.1,2.7,0.525,241.12,,,,,,,
T,39.039678000,-95.682861000,924.4,0.1,2.7,0.535,49.90,,,,,,,
T,39.039743000,-95.682861000,925.0,0.1,2.9,0.539,23.67,,,,,,,
T,39.039806000,-95.682861000,925.6,0.1,2.6,0.543,22.95,,,,,,,
T,39.040674000,-95.682859000,935.2,0.1,2.1,0.603,316.15,,,,,,,
T,39.041308000,-95.682857000,940.1,0.1,2.0,0.647,230.92,,,,,,,
T,39.042643000,-95.682855000,946.6,0.1,2.0,0.739,486.24,,,,,,,
T,39.042711000,-95.682854000,946.9,0.1,1.2,0.744,24.77,,,,,,,
T,39.042793000,-95.682854000,947.2,0.1,1.0,0.749,29.87,,,,,,,
T,39.044020000,-95.682852000,950.5,0.1,0.7,0.834,446.91,,,,,,,
T,39.044101000,-95.682848000,950.6,0.1,0.6,0.840,29.52,,,,,,,
T,39.044282000,-95.682814000,950.7,1.1,0.5,0.852,66.63,,,,,,,
T,39.044443000,-95.682756000,950.7,2.5,0.1,0.864,60.91,,,,,,,
T,39.044563000,-95.682712000,950.7,3.6,-0.0,0.872,45.46,,,,,,,
T,39.044607000,-95.682694000,950.7,11.8,-0.3,0.876,16.82,,,,,,,
