type,latitude,longitude,altitude (ft),course,slope (%),distance (mi),distance_interval (ft),color,opacity,width,scale,sym,name,desc
T,40.885432000,-98.373202000,1866.1,,,0.000,,#9c27b0,1.00,1.2,,,BL. Grand Island Loop,
T,40.886383000,-98.373141000,1866.2,,-0.1,0.066,346.90,,,,,,,
T,40.887055000,-98.373055000,1865.3,,-0.0,0.112,245.99,,,,,,,
T,40.887324000,-98.373061000,1865.5,,-0.0,0.131,98.02,,,,,,,
T,40.887487000,-98.373052000,1865.8,,-0.1,0.142,59.44,,,,,,,
T,40.887721000,-98.373039000,1866.0,3.1,-0.1,0.158,85.33,,,,,,,
T,40.887932000,-98.373037000,1865.8,2.9,-0.1,0.173,76.88,,,,,,,
T,40.887877000,-98.369239000,1864.4,74.1,-0.1,0.372,1050.34,,,,,,,
T,40.887869000,-98.368554000,1864.5,80.9,-0.2,0.408,189.43,,,,,,,
T,40.887863000,-98.367864000,1863.7,84.5,-0.2,0.444,190.80,,,,,,,
T,40.887846000,-98.367122000,1863.4,88.4,-0.2,0.483,205.26,,,,,,,
T,40.887822000,-98.366309000,1861.5,91.2,-0.1,0.525,224.97,,,,,,,
T,40.887760000,-98.364971000,1861.7,92.1,-0.1,0.595,370.65,,,,,,,
T,40.887756000,-98.364868000,1863.6,92.3,0.0,0.601,28.52,,,,,,,
T,40.887668000,-98.362479000,1862.0,92.7,0.2,0.726,661.34,,,,,,,
T,40.887649000,-98.362040000,1863.5,92.9,0.0,0.749,121.58,,,,,,,
T,40.887529000,-98.358981000,1866.1,93.0,-0.1,0.910,846.95,,,,,,,
T,40.887428000,-98.356337000,1861.9,92.9,-0.1,1.048,732.00,,,,,,,
T,40.887383000,-98.354823000,1860.8,92.8,-0.1,1.128,418.95,,,,,,,
T,40.887348000,-98.352016000,1859.5,92.3,-0.3,1.275,776.25,,,,,,,
T,40.887313000,-98.348388000,1858.1,91.9,-0.2,1.465,1003.24,,,,,,,
T,40.887307000,-98.346558000,1857.0,91.4,-0.2,1.560,506.01,,,,,,,
T,40.887270000,-98.344894000,1857.0,91.0,-0.1,1.648,460.30,,,,,,,
T,40.887262000,-98.344442000,1856.5,90.9,-0.1,1.671,125.01,,,,,,,
T,40.887260000,-98.343971000,1856.4,90.8,-0.1,1.696,130.24,,,,,,,
T,40.887247000,-98.343134000,1856.1,91.0,-0.2,1.740,231.48,,,,,,,
T,40.887242000,-98.342421000,1855.6,91.2,-0.1,1.777,197.16,,,,,,,
T,40.887224000,-98.340475000,1854.6,90.8,-0.1,1.879,538.12,,,,,,,
T,40.887218000,-98.339847000,1854.6,90.7,-0.1,1.912,173.66,,,,,,,
T,40.885884000,-98.339800000,1855.0,113.6,-0.0,2.004,486.21,,,,,,,
T,40.885511000,-98.339691000,1854.7,123.7,0.0,2.030,139.20,,,,,,,
T,40.883966000,-98.339667000,1855.2,147.6,0.1,2.137,562.95,,,,,,,
T,40.883619000,-98.339665000,1855.4,170.4,0.0,2.161,126.43,,,,,,,
T,40.883522000,-98.339665000,1855.3,177.9,-0.1,2.168,35.34,,,,,,,
T,40.883113000,-98.339662000,1855.1,177.8,-0.1,2.196,149.02,,,,,,,
T,40.881922000,-98.339655000,1853.9,179.6,0.2,2.278,433.94,,,,,,,
T,40.881748000,-98.339654000,1854.1,179.7,0.4,2.290,63.40,,,,,,,
T,40.880190000,-98.339602000,1857.8,179.2,0.4,2.398,567.83,,,,,,,
T,40.879837000,-98.339602000,1860.2,179.3,0.3,2.422,128.61,,,,,,,
T,40.879537000,-98.339613000,1859.8,179.4,0.6,2.443,109.35,,,,,,,
T,40.878883000,-98.339633000,1857.2,179.7,0.6,2.488,238.34,,,,,,,
T,40.878792000,-98.339693000,1860.2,180.6,-0.2,2.495,37.08,,,,,,,
T,40.878638000,-98.339699000,1861.1,182.7,-0.2,2.505,56.13,,,,,,,
T,40.878289000,-98.339712000,1859.1,183.1,-0.2,2.530,127.21,,,,,,,
T,40.878196000,-98.339629000,1858.8,180.5,-0.6,2.537,40.93,,,,,,,
T,40.877466000,-98.339640000,1856.0,180.2,-0.7,2.588,265.99,,,,,,,
T,40.877153000,-98.339644000,1856.5,178.7,-0.4,2.609,114.04,,,,,,,
T,40.876863000,-98.339640000,1856.7,178.6,-0.3,2.629,105.67,,,,,,,
T,40.876575000,-98.339758000,1856.4,181.2,0.1,2.650,109.89,,,,,,,
T,40.875835000,-98.339751000,1856.3,182.2,0.0,2.701,269.62,,,,,,,
T,40.875567000,-98.339751000,1856.4,182.5,0.0,2.720,97.64,,,,,,,
T,40.872720000,-98.339762000,1856.8,181.2,0.1,2.916,1037.29,,,,,,,
T,40.872298000,-98.339772000,1856.8,181.3,0.1,2.945,153.78,,,,,,,
T,40.871495000,-98.339783000,1857.5,180.2,0.1,3.001,292.58,,,,,,,
T,40.870172000,-98.339815000,1858.1,180.5,0.1,3.092,482.11,,,,,,,
T,40.869223000,-98.339794000,1858.4,180.3,0.1,3.157,345.81,,,,,,,
T,40.868582000,-98.339826000,1858.5,180.7,0.1,3.202,233.71,,,,,,,
T,40.867390000,-98.339815000,1858.7,180.4,0.1,3.284,434.31,,,,,,,
T,40.866002000,-98.339805000,1858.8,180.2,0.1,3.380,505.71,,,,,,,
T,40.865710000,-98.339815000,1859.1,180.0,0.1,3.400,106.42,,,,,,,
T,40.864566000,-98.339847000,1859.5,180.5,0.1,3.479,416.90,,,,,,,
T,40.863576000,-98.339837000,1860.0,180.1,0.1,3.547,360.71,,,,,,,
T,40.861786000,-98.339894000,1861.0,180.6,0.2,3.671,652.36,,,,,,,
T,40.861093000,-98.339903000,1861.5,180.9,0.2,3.719,252.50,,,,,,,
T,40.860311000,-98.339904000,1862.3,180.7,0.2,3.772,284.92,,,,,,,
T,40.860021000,-98.339902000,1862.7,180.5,0.3,3.792,105.66,,,,,,,
T,40.858659000,-98.339923000,1864.0,180.8,0.3,3.886,496.27,,,,,,,
T,40.858528000,-98.339923000,1864.3,180.4,0.0,3.896,47.73,,,,,,,
T,40.858213000,-98.339923000,1864.9,180.3,-0.1,3.917,114.77,,,,,,,
T,40.856399000,-98.339966000,1862.6,180.7,-0.2,4.042,661.02,,,,,,,
T,40.854330000,-98.339939000,1861.4,180.3,-0.1,4.185,753.86,,,,,,,
T,40.854184000,-98.339934000,1861.4,180.1,-0.0,4.195,53.21,,,,,,,
T,40.852263000,-98.339925000,1862.3,180.0,0.2,4.328,699.90,,,,,,,
T,40.850481000,-98.339919000,1863.8,180.0,-0.2,4.451,649.26,,,,,,,
T,40.849699000,-98.339907000,1866.5,179.6,0.3,4.505,284.93,,,,,,,
T,40.849061000,-98.339898000,1857.8,179.7,0.3,4.549,232.46,,,,,,,
T,40.848620000,-98.339891000,1866.6,179.7,0.2,4.579,160.69,,,,,,,
T,40.847955000,-98.339891000,1866.8,179.7,-0.0,4.625,242.29,,,,,,,
T,40.847156000,-98.339880000,1866.2,179.5,0.5,4.680,291.12,,,,,,,
T,40.844855000,-98.339859000,1866.5,179.6,-0.1,4.839,838.37,,,,,,,
T,40.844567000,-98.339875000,1866.5,179.8,0.0,4.859,105.02,,,,,,,
T,40.840462000,-98.339931000,1864.8,180.2,0.1,5.142,1495.70,,,,,,,
T,40.836380000,-98.340078000,1868.9,180.7,0.1,5.424,1487.79,,,,,,,
T,40.835345000,-98.340119000,1870.6,180.9,-0.1,5.495,377.26,,,,,,,
