type,latitude,longitude,altitude (ft),course,slope (%),distance (mi),distance_interval (ft),color,opacity,width,scale,sym,name,desc
T,42.841584000,-108.745861000,5352.2,,,0.000,,#0288d1,1.00,1.2,,,F. Lander to Montpelier,
T,42.841637000,-108.745707000,5352.0,,1.4,0.009,45.60,,,,,,,
T,42.841188000,-108.745434000,5354.8,,1.4,0.043,179.28,,,,,,,
T,42.840579000,-108.745176000,5358.7,,1.4,0.087,232.50,,,,,,,
T,42.840460000,-108.745143000,5359.3,,1.5,0.095,44.27,,,,,,,
T,42.839924000,-108.744997000,5361.8,159.1,1.3,0.133,199.24,,,,,,,
T,42.839855000,-108.744978000,5362.0,163.3,0.9,0.138,25.66,,,,,,,
T,42.839612000,-108.744941000,5362.4,167.1,0.9,0.154,89.12,,,,,,,
T,42.839370000,-108.744904000,5362.8,170.6,0.8,0.171,88.76,,,,,,,
T,42.839002000,-108.744895000,5364.3,172.9,0.9,0.197,134.15,,,,,,,
T,42.838851000,-108.744888000,5365.0,175.7,1.0,0.207,55.07,,,,,,,
T,42.838539000,-108.744875000,5366.5,176.7,1.0,0.229,113.77,,,,,,,
T,42.838279000,-108.744882000,5367.5,178.1,0.9,0.247,94.78,,,,,,,
T,42.837736000,-108.744877000,5368.9,179.3,0.8,0.284,197.91,,,,,,,
T,42.837146000,-108.744872000,5370.3,179.5,0.7,0.325,215.04,,,,,,,
T,42.836756000,-108.744860000,5371.2,179.4,0.7,0.352,142.18,,,,,,,
T,42.836633000,-108.744837000,5371.6,179.2,0.6,0.360,45.25,,,,,,,
T,42.836405000,-108.744794000,5372.2,178.0,0.4,0.376,83.90,,,,,,,
T,42.836153000,-108.744634000,5372.7,173.6,0.2,0.395,101.38,,,,,,,
T,42.835966000,-108.744321000,5372.4,161.1,-0.2,0.416,108.14,,,,,,,
T,42.835871000,-108.744028000,5372.0,145.4,-0.6,0.432,85.88,,,,,,,
T,42.835723000,-108.743366000,5370.6,130.2,-0.7,0.467,185.58,,,,,,,
T,42.835291000,-108.741337000,5366.3,113.7,-0.7,0.575,566.57,,,,,,,
T,42.835164000,-108.740736000,5365.2,109.1,-0.7,0.606,167.72,,,,,,,
T,42.835012000,-108.740019000,5363.6,106.8,-0.7,0.644,200.15,,,,,,,
T,42.834879000,-108.739392000,5362.4,106.3,-0.5,0.677,175.03,,,,,,,
T,42.834863000,-108.739316000,5362.2,106.1,-0.4,0.681,21.20,,,,,,,
T,42.834433000,-108.737300000,5360.5,106.2,-0.4,0.788,563.02,,,,,,,
T,42.834007000,-108.735274000,5358.6,106.1,-0.3,0.895,565.20,,,,,,,
T,42.833985000,-108.735170000,5358.4,106.1,-0.3,0.901,29.03,,,,,,,
T,42.833960000,-108.735047000,5358.3,106.1,-0.2,0.907,34.23,,,,,,,
T,42.833841000,-108.734470000,5357.8,106.0,-0.1,0.938,160.74,,,,,,,
T,42.833588000,-108.733236000,5358.1,105.8,-0.3,1.003,343.62,,,,,,,
T,42.833565000,-108.733128000,5358.0,105.7,-0.3,1.008,30.16,,,,,,,
T,42.833177000,-108.731313000,5355.2,105.9,-0.4,1.104,506.99,,,,,,,
T,42.833154000,-108.731209000,5355.0,106.0,-0.8,1.110,29.13,,,,,,,
T,42.832746000,-108.729166000,5351.7,105.7,-0.8,1.217,567.84,,,,,,,
T,42.832337000,-108.727419000,5345.0,106.3,-1.1,1.311,491.77,,,,,,,
T,42.832290000,-108.727207000,5344.2,106.4,-1.0,1.322,59.39,,,,,,,
T,42.832209000,-108.726744000,5341.8,106.1,-0.1,1.346,127.66,,,,,,,
T,42.832199000,-108.726702000,5342.5,106.1,3.4,1.348,11.84,,,,,,,
T,42.832046000,-108.725989000,5350.5,106.7,4.5,1.386,199.23,,,,,,,
T,42.831970000,-108.725695000,5361.4,106.2,6.0,1.402,83.59,,,,,,,
T,42.831772000,-108.725189000,5370.0,109.3,5.7,1.431,153.73,,,,,,,
T,42.831579000,-108.724750000,5377.2,113.3,5.5,1.457,137.17,,,,,,,
T,42.831461000,-108.724483000,5380.0,114.4,4.1,1.473,83.54,,,,,,,
T,42.831148000,-108.724084000,5384.3,122.7,2.3,1.502,156.43,,,,,,,
T,42.831065000,-108.723978000,5384.7,125.7,1.6,1.510,41.52,,,,,,,
T,42.830611000,-108.723323000,5385.2,130.3,1.5,1.556,241.36,,,,,,,
T,42.830188000,-108.722902000,5388.3,135.7,1.6,1.592,191.11,,,,,,,
T,42.828840000,-108.721359000,5398.7,138.8,2.1,1.714,642.43,,,,,,,
T,42.828088000,-108.720481000,5408.4,139.2,1.9,1.782,361.38,,,,,,,
T,42.827180000,-108.719501000,5422.8,139.8,2.1,1.862,422.65,,,,,,,
T,42.826676000,-108.719053000,5420.7,141.5,2.9,1.904,219.52,,,,,,,
T,42.826425000,-108.718910000,5425.5,142.1,4.3,1.923,99.20,,,,,,,
T,42.826335000,-108.718859000,5431.6,143.8,4.3,1.929,35.54,,,,,,,
T,42.824870000,-108.718153000,5466.4,152.0,4.9,2.037,566.54,,,,,,,
T,42.824523000,-108.718020000,5468.0,157.8,4.4,2.062,131.41,,,,,,,
T,42.824258000,-108.717944000,5466.5,161.4,3.7,2.080,98.71,,,,,,,
T,42.823417000,-108.717705000,5476.3,163.6,0.6,2.140,313.15,,,,,,,
T,42.822926000,-108.717482000,5479.0,163.5,0.4,2.175,188.69,,,,,,,
T,42.821986000,-108.716890000,5473.4,162.2,-0.0,2.247,377.62,,,,,,,
T,42.821844000,-108.716769000,5472.3,161.1,-1.9,2.258,61.09,,,,,,,
T,42.821567000,-108.716551000,5466.1,159.2,-3.5,2.280,116.68,,,,,,,
T,42.821253000,-108.716221000,5459.4,153.3,-5.1,2.308,144.69,,,,,,,
T,42.820939000,-108.715900000,5449.7,149.7,-5.7,2.335,143.23,,,,,,,
T,42.820888000,-108.715848000,5448.4,145.2,-5.6,2.339,23.24,,,,,,,
T,42.820778000,-108.715743000,5445.3,144.8,-5.6,2.349,49.00,,,,,,,
T,42.820663000,-108.715609000,5442.8,142.6,-3.3,2.359,55.22,,,,,,,
T,42.820563000,-108.715500000,5441.6,142.5,-3.4,2.368,46.73,,,,,,,
T,42.819067000,-108.713671000,5419.6,138.9,-3.6,2.507,733.55,,,,,,,
T,42.818862000,-108.713443000,5415.1,139.0,-3.9,2.525,96.56,,,,,,,
T,42.818265000,-108.712751000,5401.5,138.9,-3.5,2.579,286.04,,,,,,,
T,42.817594000,-108.711900000,5385.2,138.4,-3.5,2.643,334.58,,,,,,,
T,42.817218000,-108.711481000,5384.2,138.6,-3.1,2.676,177.25,,,,,,,
T,42.816966000,-108.711198000,5383.7,139.2,-1.3,2.699,119.17,,,,,,,
T,42.816773000,-108.710999000,5383.5,139.4,0.0,2.716,88.31,,,,,,,
T,42.815757000,-108.709739000,5385.2,138.6,0.0,2.811,501.42,,,,,,,
T,42.814877000,-108.708723000,5385.7,139.4,-0.1,2.890,420.94,,,,,,,
T,42.812946000,-108.706420000,5385.0,139.0,-0.1,3.068,936.58,,,,,,,
T,42.811846000,-108.705105000,5380.2,138.9,-0.3,3.169,534.08,,,,,,,
T,42.811628000,-108.704859000,5380.0,138.8,-0.5,3.188,103.30,,,,,,,
T,42.810847000,-108.703944000,5376.9,139.1,-1.2,3.260,375.91,,,,,,,
T,42.810630000,-108.703708000,5376.3,139.1,-1.6,3.279,101.32,,,,,,,
T,42.810097000,-108.703002000,5368.2,138.6,-1.5,3.330,271.35,,,,,,,
T,42.808283000,-108.700843000,5351.7,138.7,-1.7,3.497,879.07,,,,,,,
T,42.807476000,-108.699899000,5350.3,138.8,-1.1,3.570,388.18,,,,,,,
T,42.807338000,-108.699737000,5347.5,138.7,-0.8,3.583,66.48,,,,,,,
T,42.806264000,-108.698311000,5353.1,137.8,-0.1,3.686,547.42,,,,,,,
T,42.806206000,-108.698222000,5353.4,138.0,-0.4,3.693,31.90,,,,,,,
T,42.805824000,-108.697628000,5351.0,136.2,-0.3,3.733,211.65,,,,,,,
T,42.805186000,-108.696513000,5345.8,132.7,-1.8,3.804,378.95,,,,,,,
T,42.805053000,-108.696235000,5344.1,131.6,-2.0,3.821,88.97,,,,,,,
T,42.804842000,-108.695844000,5338.2,128.2,-2.1,3.846,130.09,,,,,,,
T,42.804725000,-108.695603000,5336.0,127.6,-0.2,3.861,77.47,,,,,,,
T,42.804315000,-108.694753000,5331.1,125.6,0.1,3.912,272.70,,,,,,,
T,42.803449000,-108.693041000,5343.3,124.3,0.2,4.018,557.42,,,,,,,
T,42.802821000,-108.691628000,5344.9,123.4,0.3,4.102,442.94,,,,,,,
T,42.802457000,-108.690876000,5342.0,123.2,-0.3,4.147,241.52,,,,,,,
T,42.802119000,-108.690111000,5340.4,122.9,0.6,4.193,239.43,,,,,,,
T,42.801159000,-108.688107000,5325.6,122.9,1.0,4.314,641.63,,,,,,,
T,42.799869000,-108.685448000,5357.2,122.7,1.5,4.476,854.59,,,,,,,
T,42.799280000,-108.684321000,5368.5,123.4,1.2,4.546,370.91,,,,,,,
T,42.798416000,-108.682964000,5381.5,124.8,1.8,4.638,481.47,,,,,,,
T,42.797511000,-108.681693000,5374.3,126.7,0.2,4.727,474.52,,,,,,,
T,42.797300000,-108.681465000,5367.0,128.4,-1.9,4.746,98.28,,,,,,,
T,42.796132000,-108.680239000,5360.7,134.4,-1.7,4.848,538.05,,,,,,,
T,42.794349000,-108.678524000,5323.8,139.2,-1.4,4.999,796.36,,,,,,,
T,42.792556000,-108.676796000,5335.3,142.3,0.4,5.151,801.36,,,,,,,
T,42.791201000,-108.675416000,5333.7,143.9,0.8,5.267,617.33,,,,,,,
T,42.785936000,-108.670466000,5388.1,144.6,1.8,5.710,2334.06,,,,,,,
T,42.785611000,-108.670164000,5399.1,144.9,0.9,5.737,143.54,,,,,,,
T,42.785118000,-108.669642000,5398.6,144.8,0.2,5.780,227.86,,,,,,,
T,42.783688000,-108.668258000,5369.1,144.8,-0.4,5.901,640.06,,,,,,,
T,42.781455000,-108.666076000,5344.2,144.9,0.6,6.091,1002.74,,,,,,,
T,42.779222000,-108.663907000,5376.7,144.4,1.0,6.281,1000.72,,,,,,,
T,42.777367000,-108.662117000,5422.2,144.4,1.9,6.438,829.48,,,,,,,
T,42.776119000,-108.660899000,5440.8,144.5,2.4,6.544,560.21,,,,,,,
T,42.774845000,-108.659721000,5442.9,144.7,1.1,6.650,561.82,,,,,,,
T,42.773491000,-108.658565000,5428.4,145.3,-0.6,6.761,582.98,,,,,,,
T,42.772237000,-108.657628000,5409.5,146.6,-1.7,6.859,521.71,,,,,,,
T,42.771444000,-108.657071000,5406.6,148.0,-2.6,6.921,325.42,,,,,,,
T,42.770681000,-108.656582000,5402.0,149.8,-2.0,6.979,307.53,,,,,,,
T,42.769220000,-108.655742000,5383.5,152.6,-1.0,7.089,578.28,,,,,,,
T,42.767967000,-108.655108000,5383.8,155.3,-1.1,7.181,487.37,,,,,,,
T,42.766658000,-108.654502000,5387.0,157.6,-0.6,7.277,504.07,,,,,,,
T,42.765970000,-108.654268000,5382.4,159.4,2.2,7.325,258.50,,,,,,,
T,42.765283000,-108.654041000,5390.0,160.9,3.6,7.374,257.70,,,,,,,
T,42.762249000,-108.653197000,5442.7,165.0,2.5,7.588,1128.77,,,,,,,
T,42.761208000,-108.653000000,5475.7,167.1,2.1,7.661,383.08,,,,,,,
T,42.759965000,-108.652819000,5448.4,169.5,1.6,7.747,455.63,,,,,,,
T,42.758014000,-108.652457000,5442.9,170.5,-1.1,7.883,717.68,,,,,,,
T,42.757668000,-108.652398000,5436.1,171.0,-2.7,7.907,127.10,,,,,,,
T,42.755396000,-108.652020000,5415.0,172.8,-1.5,8.065,834.26,,,,,,,
T,42.754900000,-108.651915000,5412.3,172.8,-0.8,8.100,182.96,,,,,,,
T,42.754560000,-108.651843000,5418.7,172.4,-0.1,8.123,125.42,,,,,,,
T,42.753232000,-108.651564000,5428.5,172.2,1.3,8.216,489.77,,,,,,,
